item,category,iso_year,iso_week,current_price_rs,price_change_4wk_pct,price_vs_3mo_avg_pct,days_to_festival,festival_season,expected_price_next_4wk_rs,target_buy_now
Ash Plantains,Low Country,2024,33,178.86,-10.92,-1.11,245,0,187.73,1
Ash Plantains,Low Country,2024,34,180.79,-13.02,-2.46,238,0,182.48,1
Ash Plantains,Low Country,2024,35,177.71,-10.56,-5.71,231,0,179.11,1
Ash Plantains,Low Country,2024,36,179.07,-7.01,-5.75,224,0,179.08,1
Ash Plantains,Low Country,2024,37,178.75,-0.06,-5.88,217,0,178.98,1
Ash Plantains,Low Country,2024,38,180.37,-0.23,-4.96,210,0,178.43,0
Ash Plantains,Low Country,2024,39,175.53,-1.23,-7.09,203,0,173.14,0
Ash Plantains,Low Country,2024,40,157.91,-11.82,-14.83,196,0,164.99,1
Ash Plantains,Low Country,2024,41,146.14,-18.24,-19.33,189,0,155.3,1
Ash Plantains,Low Country,2024,42,141.61,-21.49,-19.82,182,0,145.41,1
Ash Plantains,Low Country,2024,43,135.97,-22.54,-20.52,175,0,138.04,1
Ash Plantains,Low Country,2024,44,128.43,-18.67,-22.48,168,0,131.81,1
Ash Plantains,Low Country,2024,45,121.24,-17.04,-24.31,161,0,126.83,1
Ash Plantains,Low Country,2024,46,121.67,-14.08,-21.9,154,0,122.13,1
Ash Plantains,Low Country,2024,47,117.18,-13.82,-22.34,147,0,118.52,1
Ash Plantains,Low Country,2024,48,113.98,-11.25,-21.93,140,0,120.02,1
Ash Plantains,Low Country,2024,49,127.24,4.96,-10.39,133,0,123.23,0
Ash Plantains,Low Country,2024,50,134.51,10.55,-2.95,126,0,128.57,0
Ash Plantains,Low Country,2024,51,138.56,18.25,2.35,119,0,132.54,0
Ash Plantains,Low Country,2024,52,129.83,13.9,-1.55,112,0,134.04,1
Ash Plantains,Low Country,2025,1,133.27,4.74,2.54,105,0,127.5,0
Ash Plantains,Low Country,2025,35,108.33,-19.46,-14.74,232,0,136.23,1
Ash Plantains,Low Country,2026,1,173.48,25.2,33.94,106,0,146.11,0
Ash Plantains,Low Country,2026,2,169.37,30.46,28.23,99,0,155.58,0
Ash Plantains,Low Country,2026,3,171.13,28.41,26.42,92,0,171.55,1
Ash Plantains,Low Country,2026,4,172.21,58.96,23.63,85,0,170.62,0
Ash Plantains,Low Country,2026,5,169.78,-2.13,18.74,78,0,166.84,0
Ash Plantains,Low Country,2026,6,154.22,-8.94,5.75,71,0,163.32,1
Ash Plantains,Low Country,2026,7,157.07,-8.21,5.31,64,0,158.79,1
Ash Plantains,Low Country,2026,8,154.06,-10.54,1.88,57,0,153.39,0
Ash Plantains,Low Country,2026,9,148.18,-12.72,-2.69,50,0,151.64,1
Ash Plantains,Low Country,2026,10,147.25,-4.52,-3.72,43,1,146.44,0
Ash Plantains,Low Country,2026,11,136.26,-13.25,-11.19,36,1,141.89,1
Ash Plantains,Low Country,2026,12,135.85,-11.82,-11.57,29,1,137.05,1
Ash Plantains,Low Country,2026,13,128.84,-13.05,-16.99,22,1,130.66,1
Ash Plantains,Low Country,2026,14,121.7,-17.35,-19.53,15,1,123.66,1
Ash Plantains,Low Country,2026,15,108.27,-20.55,-26.11,8,1,121.72,1
Ash Plantains,Low Country,2026,16,128.08,-5.72,-10.57,1,1,117.44,0
Ash Plantains,Low Country,2026,17,111.72,-13.29,-19.37,359,0,114.11,1
Ash Plantains,Low Country,2026,18,108.37,-10.95,-19.03,352,0,112.94,1
Ash Plantains,Low Country,2026,19,103.59,-4.32,-20.28,345,0,106.65,1
Ash Plantains,Low Country,2026,20,102.92,-19.65,-18.17,338,0,105.54,1
Ash Plantains,Low Country,2026,21,107.28,-3.97,-12.19,331,0,105.37,0
Ash Plantains,Low Country,2026,22,107.7,-0.62,-9.55,324,0,107.12,0
Ash Plantains,Low Country,2026,23,110.59,6.76,-4.87,317,0,108.82,0
Ash Plantains,Low Country,2026,24,109.69,6.59,-3.95,310,0,109.67,0
Ash Plantains,Low Country,2026,25,110.69,3.18,-1.4,303,0,110.32,0
Avocado (Rs/Fruit),Fruit,2023,1,165.0,,0.0,102,0,161.25,0
Avocado (Rs/Fruit),Fruit,2023,2,161.25,,-1.15,95,0,156.62,0
Avocado (Rs/Fruit),Fruit,2023,3,152.0,,-4.65,88,0,158.42,1
Avocado (Rs/Fruit),Fruit,2023,4,162.0,,1.21,81,0,160.06,0
Avocado (Rs/Fruit),Fruit,2023,5,165.0,0.0,2.45,74,0,153.0,0
Avocado (Rs/Fruit),Fruit,2023,6,133.0,-17.52,-14.95,67,0,158.5,1
Avocado (Rs/Fruit),Fruit,2023,7,174.0,14.47,9.51,60,0,154.5,0
Avocado (Rs/Fruit),Fruit,2023,8,146.0,-9.88,-7.17,53,0,144.75,0
Avocado (Rs/Fruit),Fruit,2023,9,126.0,-23.64,-18.08,46,0,148.06,1
Avocado (Rs/Fruit),Fruit,2023,10,146.25,9.96,-4.44,39,1,135.06,0
Avocado (Rs/Fruit),Fruit,2023,11,122.0,-29.89,-18.79,32,1,130.06,1
Avocado (Rs/Fruit),Fruit,2023,12,126.0,-13.7,-14.98,25,1,129.81,1
Avocado (Rs/Fruit),Fruit,2023,13,125.0,-0.79,-14.63,18,1,119.5,0
Avocado (Rs/Fruit),Fruit,2023,14,105.0,-28.21,-25.96,11,1,118.38,1
Avocado (Rs/Fruit),Fruit,2023,15,117.5,-3.69,-15.13,4,1,119.62,1
Avocado (Rs/Fruit),Fruit,2023,16,131.0,3.97,-4.26,363,0,116.88,0
Avocado (Rs/Fruit),Fruit,2023,17,114.0,-8.8,-14.37,356,0,115.62,1
Avocado (Rs/Fruit),Fruit,2023,18,100.0,-4.76,-21.96,349,0,110.25,1
Avocado (Rs/Fruit),Fruit,2023,19,96.0,-18.3,-23.38,342,0,98.3,1
Avocado (Rs/Fruit),Fruit,2023,20,83.2,-36.49,-29.67,335,0,91.8,1
Avocado (Rs/Fruit),Fruit,2023,21,88.0,-22.81,-22.7,328,0,86.3,0
Avocado (Rs/Fruit),Fruit,2023,22,78.0,-22.0,-29.19,321,0,80.05,1
Avocado (Rs/Fruit),Fruit,2023,23,71.0,-26.04,-31.97,314,0,74.5,1
Avocado (Rs/Fruit),Fruit,2023,24,61.0,-26.68,-38.8,307,0,70.0,1
Avocado (Rs/Fruit),Fruit,2023,25,70.0,-20.45,-26.6,300,0,67.69,0
Avocado (Rs/Fruit),Fruit,2023,26,68.75,-11.86,-24.48,293,0,68.06,0
Avocado (Rs/Fruit),Fruit,2023,27,72.5,2.11,-18.11,286,0,71.56,0
Avocado (Rs/Fruit),Fruit,2023,28,75.0,22.95,-12.04,279,0,72.06,0
Avocado (Rs/Fruit),Fruit,2023,29,72.0,2.86,-10.81,272,0,73.0,1
Avocado (Rs/Fruit),Fruit,2023,30,72.5,5.45,-6.49,265,0,70.81,0
Avocado (Rs/Fruit),Fruit,2023,31,63.75,-12.07,-14.71,258,0,75.06,1
Avocado (Rs/Fruit),Fruit,2023,32,92.0,22.67,23.59,251,0,81.56,0
Avocado (Rs/Fruit),Fruit,2023,33,98.0,36.11,29.67,244,0,84.94,0
Avocado (Rs/Fruit),Fruit,2023,34,86.0,18.62,14.02,237,0,88.06,1
Avocado (Rs/Fruit),Fruit,2023,35,76.25,19.61,1.28,230,0,81.06,1
Avocado (Rs/Fruit),Fruit,2023,36,64.0,-30.43,-14.38,223,0,75.56,1
Avocado (Rs/Fruit),Fruit,2023,37,76.0,-22.45,0.13,216,0,74.56,0
Avocado (Rs/Fruit),Fruit,2023,38,82.0,-4.65,6.73,209,0,75.5,0
Avocado (Rs/Fruit),Fruit,2023,39,80.0,4.92,2.97,202,0,77.25,0
Avocado (Rs/Fruit),Fruit,2023,40,71.0,10.94,-8.48,195,0,76.5,1
Avocado (Rs/Fruit),Fruit,2023,41,73.0,-3.95,-5.71,188,0,75.5,1
Avocado (Rs/Fruit),Fruit,2023,42,78.0,-4.88,0.15,181,0,78.5,1
Avocado (Rs/Fruit),Fruit,2023,43,92.0,15.0,15.89,174,0,85.25,0
Avocado (Rs/Fruit),Fruit,2023,44,98.0,38.03,19.48,167,0,92.5,0
Avocado (Rs/Fruit),Fruit,2023,45,102.0,39.73,23.21,160,0,102.25,1
Avocado (Rs/Fruit),Fruit,2023,46,117.0,50.0,38.87,153,0,106.5,0
Avocado (Rs/Fruit),Fruit,2023,47,109.0,18.48,26.72,146,0,111.17,1
Avocado (Rs/Fruit),Fruit,2023,48,116.67,19.05,30.9,139,0,127.67,1
Avocado (Rs/Fruit),Fruit,2023,49,168.0,64.71,72.97,132,0,158.67,0
Avocado (Rs/Fruit),Fruit,2023,50,241.0,105.98,119.45,125,0,195.17,0
Avocado (Rs/Fruit),Fruit,2023,51,255.0,133.94,107.1,118,0,235.58,0
Avocado (Rs/Fruit),Fruit,2023,52,278.33,138.57,101.13,111,0,263.58,0
Avocado (Rs/Fruit),Fruit,2024,1,280.0,66.67,81.27,104,0,248.83,0
Avocado (Rs/Fruit),Fruit,2024,2,182.0,-24.48,11.76,97,0,224.46,1
Avocado (Rs/Fruit),Fruit,2024,3,157.5,-38.24,-6.78,90,0,200.5,1
Avocado (Rs/Fruit),Fruit,2024,4,182.5,-34.43,3.74,83,0,185.0,1
Avocado (Rs/Fruit),Fruit,2024,5,218.0,-22.14,17.74,76,0,207.25,0
Avocado (Rs/Fruit),Fruit,2024,6,271.0,48.9,36.76,69,0,243.38,0
Avocado (Rs/Fruit),Fruit,2024,7,302.0,91.75,42.19,62,0,268.06,0
Avocado (Rs/Fruit),Fruit,2024,8,281.25,54.11,24.65,55,0,288.88,1
Avocado (Rs/Fruit),Fruit,2024,9,301.25,38.19,25.61,48,0,281.75,0
Avocado (Rs/Fruit),Fruit,2024,10,242.5,-10.52,-1.25,41,1,271.5,1
Avocado (Rs/Fruit),Fruit,2024,11,261.0,-13.58,5.62,34,1,268.06,1
Avocado (Rs/Fruit),Fruit,2024,12,267.5,-4.89,7.84,27,1,254.31,0
Avocado (Rs/Fruit),Fruit,2024,13,246.25,-18.26,0.27,20,1,233.19,0
Avocado (Rs/Fruit),Fruit,2024,14,158.0,-34.85,-33.11,13,1,210.44,1
Avocado (Rs/Fruit),Fruit,2024,15,170.0,-34.87,-27.75,6,1,189.5,1
Avocado (Rs/Fruit),Fruit,2024,16,183.75,-31.31,-22.57,364,0,164.5,0
Avocado (Rs/Fruit),Fruit,2024,17,146.25,-40.61,-37.64,357,0,150.62,1
Avocado (Rs/Fruit),Fruit,2024,18,102.5,-35.13,-54.57,350,0,128.88,1
Avocado (Rs/Fruit),Fruit,2024,19,83.0,-51.18,-60.7,343,0,101.69,1
Avocado (Rs/Fruit),Fruit,2024,20,75.0,-59.18,-61.28,336,0,82.62,1
Avocado (Rs/Fruit),Fruit,2024,21,70.0,-52.14,-60.55,329,0,74.5,1
Avocado (Rs/Fruit),Fruit,2024,22,70.0,-31.71,-56.16,322,0,71.0,1
Avocado (Rs/Fruit),Fruit,2024,23,69.0,-16.87,-52.85,315,0,69.0,0
Avocado (Rs/Fruit),Fruit,2024,24,67.0,-10.67,-49.01,308,0,68.17,1
Avocado (Rs/Fruit),Fruit,2024,25,66.67,-4.76,-42.51,301,0,65.87,0
Avocado (Rs/Fruit),Fruit,2024,26,60.8,-13.14,-40.21,294,0,72.12,1
Avocado (Rs/Fruit),Fruit,2024,27,94.0,36.23,-2.86,287,0,79.62,0
Avocado (Rs/Fruit),Fruit,2024,28,97.0,44.78,6.42,280,0,91.95,0
Avocado (Rs/Fruit),Fruit,2024,29,116.0,74.0,34.98,273,0,103.25,0
Avocado (Rs/Fruit),Fruit,2024,30,106.0,74.34,27.95,266,0,100.88,0
Avocado (Rs/Fruit),Fruit,2024,31,84.5,-10.11,3.73,259,0,103.62,1
Avocado (Rs/Fruit),Fruit,2024,32,108.0,11.34,29.52,252,0,99.38,0
Avocado (Rs/Fruit),Fruit,2024,33,99.0,-14.66,16.16,245,0,98.19,0
Avocado (Rs/Fruit),Fruit,2024,34,101.25,-4.48,15.54,238,0,98.81,0
Avocado (Rs/Fruit),Fruit,2024,35,87.0,2.96,-2.18,231,0,94.06,1
Avocado (Rs/Fruit),Fruit,2024,36,89.0,-17.59,-1.63,224,0,91.34,1
Avocado (Rs/Fruit),Fruit,2024,37,88.12,-10.98,-4.32,217,0,92.07,1
Avocado (Rs/Fruit),Fruit,2024,38,104.17,2.88,9.66,210,0,93.79,0
Avocado (Rs/Fruit),Fruit,2024,39,93.88,7.9,-3.75,203,0,108.89,1
Avocado (Rs/Fruit),Fruit,2024,40,149.4,67.87,46.77,196,0,117.96,0
Avocado (Rs/Fruit),Fruit,2024,41,124.4,41.16,19.73,189,0,133.04,1
Avocado (Rs/Fruit),Fruit,2024,42,164.5,57.92,52.84,182,0,161.88,0
Avocado (Rs/Fruit),Fruit,2024,43,209.2,122.85,81.02,175,0,168.69,0
Avocado (Rs/Fruit),Fruit,2024,44,176.67,18.25,44.03,168,0,189.84,1
Avocado (Rs/Fruit),Fruit,2024,45,209.0,68.01,60.24,161,0,213.09,1
Avocado (Rs/Fruit),Fruit,2024,46,257.5,56.53,80.55,154,0,241.17,0
Avocado (Rs/Fruit),Fruit,2024,47,321.5,53.68,101.49,147,0,303.38,0
Avocado (Rs/Fruit),Fruit,2024,48,425.5,140.85,129.25,140,0,357.0,0
Avocado (Rs/Fruit),Fruit,2024,49,423.5,102.63,100.39,133,0,402.62,0
Avocado (Rs/Fruit),Fruit,2024,50,440.0,70.87,84.56,126,0,418.75,0
Avocado (Rs/Fruit),Fruit,2024,51,386.0,20.06,48.42,119,0,408.0,1
Avocado (Rs/Fruit),Fruit,2024,52,382.5,-10.11,35.5,112,0,416.5,1
Avocado (Rs/Fruit),Fruit,2025,1,457.5,8.03,49.52,105,0,361.5,0
Avocado (Rs/Fruit),Fruit,2025,35,220.0,-50.0,-29.79,232,0,375.62,1
Avocado (Rs/Fruit),Fruit,2026,1,442.5,14.64,32.2,106,0,391.88,0
Avocado (Rs/Fruit),Fruit,2026,2,447.5,16.99,26.75,99,0,394.38,0
Avocado (Rs/Fruit),Fruit,2026,3,467.5,2.19,24.53,92,0,454.38,0
Avocado (Rs/Fruit),Fruit,2026,4,460.0,109.09,16.54,85,0,457.92,0
Avocado (Rs/Fruit),Fruit,2026,5,456.7,3.21,11.38,78,0,433.86,0
Avocado (Rs/Fruit),Fruit,2026,6,351.25,-21.51,-14.82,71,0,392.61,1
Avocado (Rs/Fruit),Fruit,2026,7,302.5,-35.29,-24.92,64,0,363.86,1
Avocado (Rs/Fruit),Fruit,2026,8,345.0,-25.0,-13.06,57,0,321.94,0
Avocado (Rs/Fruit),Fruit,2026,9,289.0,-36.72,-24.98,50,0,308.29,1
Avocado (Rs/Fruit),Fruit,2026,10,296.67,-15.54,-21.59,43,1,294.79,0
Avocado (Rs/Fruit),Fruit,2026,11,248.5,-17.85,-32.48,36,1,261.04,1
Avocado (Rs/Fruit),Fruit,2026,12,210.0,-39.13,-39.83,29,1,235.04,1
Avocado (Rs/Fruit),Fruit,2026,13,185.0,-35.99,-46.58,22,1,205.88,1
Avocado (Rs/Fruit),Fruit,2026,14,180.0,-39.33,-44.81,15,1,190.25,1
Avocado (Rs/Fruit),Fruit,2026,15,186.0,-25.15,-39.22,8,1,191.25,1
Avocado (Rs/Fruit),Fruit,2026,17,214.0,1.9,-25.31,359,0,204.84,0
Avocado (Rs/Fruit),Fruit,2026,18,239.38,29.39,-11.19,352,0,214.59,0
Avocado (Rs/Fruit),Fruit,2026,19,219.0,21.67,-12.84,345,0,220.22,1
Avocado (Rs/Fruit),Fruit,2026,20,208.5,12.1,-13.22,338,0,212.97,1
Avocado (Rs/Fruit),Fruit,2026,21,185.0,-13.55,-19.99,331,0,201.56,1
Avocado (Rs/Fruit),Fruit,2026,22,193.75,-19.06,-11.77,324,0,192.56,0
Avocado (Rs/Fruit),Fruit,2026,23,183.0,-16.44,-13.45,317,0,181.56,0
Avocado (Rs/Fruit),Fruit,2026,24,164.5,-21.1,-18.27,310,0,173.44,1
Avocado (Rs/Fruit),Fruit,2026,25,152.5,-17.57,-21.35,303,0,166.67,1
Banana - Ambul (Rs/Kg),Fruit,2023,1,181.25,,0.0,102,0,202.5,1
Banana - Ambul (Rs/Kg),Fruit,2023,2,202.5,,5.54,95,0,180.25,0
Banana - Ambul (Rs/Kg),Fruit,2023,3,158.0,,-12.51,88,0,186.5,1
Banana - Ambul (Rs/Kg),Fruit,2023,4,199.0,,7.46,81,0,187.62,0
Banana - Ambul (Rs/Kg),Fruit,2023,5,191.0,5.38,2.5,74,0,184.25,0
Banana - Ambul (Rs/Kg),Fruit,2023,6,189.0,-6.67,1.18,67,0,185.25,0
Banana - Ambul (Rs/Kg),Fruit,2023,7,162.0,2.53,-11.6,60,0,177.0,1
Banana - Ambul (Rs/Kg),Fruit,2023,8,166.0,-16.58,-8.33,53,0,172.0,1
Banana - Ambul (Rs/Kg),Fruit,2023,9,171.0,-10.47,-4.99,46,0,168.5,0
Banana - Ambul (Rs/Kg),Fruit,2023,10,175.0,-7.41,-2.49,39,1,168.75,0
Banana - Ambul (Rs/Kg),Fruit,2023,11,163.0,0.62,-8.42,32,1,170.0,1
Banana - Ambul (Rs/Kg),Fruit,2023,12,171.0,3.01,-3.61,25,1,173.75,1
Banana - Ambul (Rs/Kg),Fruit,2023,13,186.0,8.77,4.46,18,1,179.58,0
Banana - Ambul (Rs/Kg),Fruit,2023,14,198.33,13.33,10.57,11,1,195.71,0
Banana - Ambul (Rs/Kg),Fruit,2023,15,227.5,39.57,25.49,4,1,212.21,0
Banana - Ambul (Rs/Kg),Fruit,2023,16,237.0,38.6,26.49,363,0,213.71,0
Banana - Ambul (Rs/Kg),Fruit,2023,17,192.0,3.23,2.77,356,0,200.79,1
Banana - Ambul (Rs/Kg),Fruit,2023,18,146.67,-26.05,-20.04,349,0,174.67,1
Banana - Ambul (Rs/Kg),Fruit,2023,19,123.0,-45.93,-31.03,342,0,135.42,1
Banana - Ambul (Rs/Kg),Fruit,2023,20,80.0,-66.24,-53.5,335,0,107.67,1
Banana - Ambul (Rs/Kg),Fruit,2023,21,81.0,-57.81,-51.06,328,0,95.5,1
Banana - Ambul (Rs/Kg),Fruit,2023,22,98.0,-33.18,-38.71,321,0,96.25,0
Banana - Ambul (Rs/Kg),Fruit,2023,23,126.0,2.44,-19.29,314,0,100.75,0
Banana - Ambul (Rs/Kg),Fruit,2023,24,98.0,22.5,-35.15,307,0,108.0,1
Banana - Ambul (Rs/Kg),Fruit,2023,25,110.0,35.8,-24.88,300,0,113.81,1
Banana - Ambul (Rs/Kg),Fruit,2023,26,121.25,23.72,-14.28,293,0,117.0,0
Banana - Ambul (Rs/Kg),Fruit,2023,27,138.75,10.12,1.38,286,0,125.0,0
Banana - Ambul (Rs/Kg),Fruit,2023,28,130.0,32.65,0.5,279,0,127.5,0
Banana - Ambul (Rs/Kg),Fruit,2023,29,120.0,9.09,-0.3,272,0,127.5,1
Banana - Ambul (Rs/Kg),Fruit,2023,30,121.25,0.0,5.51,265,0,131.88,1
Banana - Ambul (Rs/Kg),Fruit,2023,31,156.25,12.61,35.1,258,0,138.62,0
Banana - Ambul (Rs/Kg),Fruit,2023,32,157.0,20.77,32.75,251,0,152.62,0
Banana - Ambul (Rs/Kg),Fruit,2023,33,176.0,46.67,40.07,244,0,177.31,1
Banana - Ambul (Rs/Kg),Fruit,2023,34,220.0,81.44,61.35,237,0,192.62,0
Banana - Ambul (Rs/Kg),Fruit,2023,35,217.5,39.2,49.45,230,0,204.38,0
Banana - Ambul (Rs/Kg),Fruit,2023,36,204.0,29.94,34.62,223,0,209.12,1
Banana - Ambul (Rs/Kg),Fruit,2023,37,195.0,10.8,22.64,216,0,196.88,1
Banana - Ambul (Rs/Kg),Fruit,2023,38,171.0,-22.27,4.46,209,0,182.5,1
Banana - Ambul (Rs/Kg),Fruit,2023,39,160.0,-26.44,-4.0,202,0,165.25,1
Banana - Ambul (Rs/Kg),Fruit,2023,40,135.0,-33.82,-18.86,195,0,148.25,1
Banana - Ambul (Rs/Kg),Fruit,2023,41,127.0,-34.87,-23.56,188,0,137.82,1
Banana - Ambul (Rs/Kg),Fruit,2023,42,129.29,-24.39,-22.52,181,0,132.93,1
Banana - Ambul (Rs/Kg),Fruit,2023,43,140.42,-12.24,-16.59,174,0,132.93,0
Banana - Ambul (Rs/Kg),Fruit,2023,44,135.0,0.0,-19.02,167,0,134.39,0
Banana - Ambul (Rs/Kg),Fruit,2023,45,132.86,4.61,-19.41,160,0,138.5,1
Banana - Ambul (Rs/Kg),Fruit,2023,46,145.71,12.71,-10.34,153,0,140.27,0
Banana - Ambul (Rs/Kg),Fruit,2023,47,147.5,5.04,-6.02,146,0,142.39,0
