bank_txn_id,date,txn_type,amount_abs_rs,direction,channel,weekday,day_of_month,created_offline,amount_zscore,target_anomaly
BNK000029,2023-12-04,payment,18090.93,out,LankaQR,0,4,0,0.4,0
BNK000030,2023-09-01,payment,5423.97,out,LankaQR,4,1,0,-0.61,0
BNK000031,2024-09-19,cash_out,46847.91,out,agency_banking_agent,3,19,0,-0.3,0
BNK000032,2024-01-11,cash_out,128936.95,out,agency_banking_agent,3,11,0,-0.19,1
BNK000033,2024-07-28,transfer,301719.37,out,bank_transfer,6,28,0,-0.37,0
BNK000034,2025-06-03,cash_in,119821.69,in,agency_banking_agent,1,3,0,-0.39,0
BNK000035,2025-05-07,cash_out,743851.72,out,agency_banking_agent,2,7,0,0.66,0
BNK000036,2024-04-17,cash_in,374262.22,in,agency_banking_agent,2,17,0,1.62,0
BNK000037,2023-05-24,transfer,173782.59,out,bank_transfer,2,24,0,-0.44,1
BNK000038,2023-01-07,debit,162.94,out,POS_card,5,7,0,-0.45,0
BNK000039,2024-02-11,cash_in,240704.74,in,agency_banking_agent,6,11,0,0.57,0
BNK000040,2024-07-17,payment,37404.21,out,LankaQR,2,17,0,1.93,0
BNK000041,2024-04-24,cash_out,83626.52,out,agency_banking_agent,2,24,0,-0.25,0
BNK000042,2023-01-21,cash_out,574495.24,out,agency_banking_agent,5,21,0,0.43,0
BNK000043,2024-11-13,cash_out,275835.74,out,agency_banking_agent,2,13,0,0.02,0
BNK000044,2024-09-26,transfer,785169.12,out,bank_transfer,3,26,0,-0.13,0
BNK000045,2023-10-19,cash_in,32692.51,in,agency_banking_agent,3,19,0,-1.07,0
BNK000046,2023-12-01,cash_out,29761.88,out,agency_banking_agent,4,1,0,-0.32,0
BNK000047,2025-05-12,payment,13785.74,out,LankaQR,0,12,0,0.06,0
BNK000048,2024-11-21,payment,67398.62,out,LankaQR,3,21,0,4.31,0
BNK000049,2025-12-30,payment,14832.86,out,LankaQR,1,30,0,0.14,0
BNK000050,2025-09-18,cash_in,354804.61,in,agency_banking_agent,3,18,0,1.47,0
BNK000051,2024-11-14,payment,357.12,out,LankaQR,3,14,0,-1.01,0
BNK000052,2024-03-06,cash_out,353968.98,out,agency_banking_agent,2,6,0,0.12,0
BNK000053,2023-09-06,payment,170.17,out,LankaQR,2,6,0,-1.02,0
BNK000054,2024-03-23,cash_out,86466.08,out,agency_banking_agent,5,23,0,-0.24,0
BNK000055,2025-07-15,cash_in,83430.84,in,agency_banking_agent,1,15,0,-0.67,0
BNK000056,2025-10-11,cash_out,22918.43,out,agency_banking_agent,5,11,0,-0.33,0
BNK000057,2023-03-16,cash_in,184347.18,in,agency_banking_agent,3,16,0,0.12,0
BNK000058,2024-05-18,transfer,1946660.83,out,bank_transfer,5,18,0,0.45,0
BNK000059,2025-05-30,payment,12616.46,out,LankaQR,4,30,0,-0.04,0
BNK000060,2025-11-10,payment,11069.59,out,LankaQR,0,10,0,-0.16,0
BNK000061,2025-02-01,payment,14406.23,out,LankaQR,5,1,0,0.11,0
BNK000062,2025-03-05,cash_out,103506.2,out,agency_banking_agent,2,5,0,-0.22,0
BNK000063,2024-04-03,cash_in,18812.47,in,agency_banking_agent,2,3,0,-1.18,0
BNK000064,2023-02-27,cash_out,49509.38,out,agency_banking_agent,0,27,0,-0.3,0
BNK000065,2023-03-15,cash_in,24164.59,in,agency_banking_agent,2,15,0,-1.14,0
BNK000066,2025-01-02,cash_out,250638.66,out,agency_banking_agent,3,2,0,-0.02,0
BNK000067,2025-12-09,payment,1356.44,out,LankaQR,1,9,0,-0.93,0
BNK000068,2023-01-29,transfer,392972.92,out,bank_transfer,6,29,0,-0.33,0
BNK000069,2024-09-13,payment,85.14,out,LankaQR,4,13,0,-1.03,0
BNK000070,2023-12-02,cash_out,618381.01,out,agency_banking_agent,5,2,0,0.49,1
BNK000071,2025-05-18,cash_out,103716.55,out,agency_banking_agent,6,18,0,-0.22,0
BNK000072,2023-01-09,cash_in,334524.73,in,agency_banking_agent,0,9,0,1.31,0
BNK000073,2024-09-04,cash_out,399386.05,out,agency_banking_agent,2,4,0,0.19,0
BNK000074,2025-08-06,transfer,1098565.85,out,bank_transfer,2,6,0,0.02,0
BNK000075,2025-03-12,payment,32103.99,out,LankaQR,2,12,1,1.51,0
BNK000076,2023-07-16,cash_out,186139.33,out,agency_banking_agent,6,16,0,-0.11,0
BNK000077,2025-10-01,cash_out,24603.9,out,agency_banking_agent,2,1,0,-0.33,0
BNK000078,2024-04-11,cash_in,8795.21,in,agency_banking_agent,3,11,0,-1.26,0
BNK000079,2023-02-05,cash_in,74341.95,in,agency_banking_agent,6,5,0,-0.74,0
BNK000080,2024-03-30,cash_out,328223.53,out,agency_banking_agent,5,30,0,0.09,0
BNK000081,2024-03-05,cash_in,12039.04,in,agency_banking_agent,1,5,1,-1.24,0
BNK000082,2023-03-12,payment,22601.95,out,LankaQR,6,12,0,0.76,0
BNK000083,2024-07-01,cash_in,237773.68,in,agency_banking_agent,0,1,0,0.54,0
BNK000084,2023-04-10,payment,20442.57,out,LankaQR,0,10,0,0.58,0
BNK000085,2025-12-24,payment,23479.61,out,LankaQR,2,24,0,0.83,0
BNK000086,2023-01-25,payment,3735.18,out,LankaQR,2,25,0,-0.74,0
BNK000087,2024-03-06,cash_in,112706.86,in,agency_banking_agent,2,6,0,-0.44,0
BNK000088,2025-06-10,cash_in,266560.19,in,agency_banking_agent,1,10,0,0.77,0
BNK000089,2025-06-12,cash_out,47797.92,out,agency_banking_agent,3,12,0,-0.3,0
BNK000090,2025-10-24,cash_in,210663.59,in,agency_banking_agent,4,24,0,0.33,0
BNK000091,2025-03-30,cash_in,122033.08,in,agency_banking_agent,6,30,0,-0.37,0
BNK000092,2025-12-23,payment,24795.18,out,LankaQR,1,23,0,0.93,0
BNK000093,2025-03-24,cash_out,92108.96,out,agency_banking_agent,0,24,0,-0.24,0
BNK000094,2025-07-15,cash_out,232759.66,out,agency_banking_agent,1,15,0,-0.04,0
BNK000095,2024-01-11,transfer,2162674.04,out,bank_transfer,3,11,0,0.56,0
BNK000096,2024-06-01,transfer,757966.21,out,bank_transfer,5,1,0,-0.15,0
BNK000097,2023-08-20,payment,17685.05,out,LankaQR,6,20,0,0.37,0
BNK000098,2023-05-29,cash_in,185685.8,in,agency_banking_agent,0,29,0,0.13,0
BNK000099,2023-06-27,cash_out,71552.83,out,agency_banking_agent,1,27,0,-0.27,0
BNK000100,2023-09-29,payment,22061.65,out,LankaQR,4,29,0,0.71,0
BNK000101,2023-10-31,transfer,860736.16,out,bank_transfer,1,31,0,-0.09,0
BNK000102,2023-03-07,payment,3326.34,out,LankaQR,1,7,0,-0.77,0
BNK000103,2024-02-22,cash_in,262759.68,in,agency_banking_agent,3,22,0,0.74,0
BNK000104,2023-04-02,payment,6906.13,out,LankaQR,6,2,0,-0.49,0
BNK000105,2025-05-27,cash_out,85528.78,out,agency_banking_agent,1,27,0,-0.25,0
BNK000106,2025-04-28,cash_out,101761.01,out,agency_banking_agent,0,28,0,-0.22,0
BNK000107,2024-08-13,cash_out,246369.61,out,agency_banking_agent,1,13,0,-0.02,0
BNK000108,2023-04-06,transfer,590388.53,out,bank_transfer,3,6,0,-0.23,0
BNK000109,2024-08-15,payment,2750.58,out,LankaQR,3,15,0,-0.82,0
BNK000110,2025-08-10,cash_out,86802.0,out,agency_banking_agent,6,10,0,-0.24,0
BNK000111,2023-08-16,cash_in,5601.01,in,agency_banking_agent,2,16,0,-1.29,0
BNK000112,2024-04-04,payment,6824.23,out,LankaQR,3,4,1,-0.49,0
BNK000113,2024-11-18,payment,4407.17,out,LankaQR,0,18,0,-0.69,0
BNK000114,2024-03-06,payment,29309.49,out,LankaQR,2,6,0,1.29,0
BNK000115,2024-01-31,payment,7783.67,out,LankaQR,2,31,0,-0.42,0
BNK000116,2024-06-11,cash_out,53284.21,out,agency_banking_agent,1,11,0,-0.29,0
BNK000117,2025-09-15,transfer,461509.86,out,bank_transfer,0,15,0,-0.29,1
BNK000118,2025-01-22,cash_in,244070.35,in,agency_banking_agent,2,22,0,0.59,0
BNK000119,2025-12-22,payment,1703.96,out,LankaQR,0,22,0,-0.9,0
BNK000120,2025-03-19,payment,21450.45,out,LankaQR,2,19,0,0.66,0
BNK000121,2025-06-01,cash_out,46179.74,out,agency_banking_agent,6,1,0,-0.3,0
BNK000122,2024-09-02,cash_out,294989.71,out,agency_banking_agent,0,2,0,0.04,1
BNK000123,2024-04-25,cash_out,334074.01,out,agency_banking_agent,3,25,0,0.1,0
BNK000124,2025-07-17,payment,10064.74,out,LankaQR,3,17,0,-0.24,0
BNK000125,2023-02-23,cash_out,232951.48,out,agency_banking_agent,3,23,0,-0.04,0
BNK000126,2025-08-13,payment,6267.7,out,LankaQR,2,13,1,-0.54,0
BNK000127,2025-06-22,payment,58548.65,out,LankaQR,6,22,1,3.6,0
BNK000128,2023-03-22,payment,5972.05,out,LankaQR,2,22,0,-0.56,0
BNK000129,2025-06-23,cash_out,207761.04,out,agency_banking_agent,0,23,1,-0.08,0
BNK000130,2024-04-12,payment,12032.48,out,LankaQR,4,12,0,-0.08,0
BNK000131,2023-02-03,cash_out,473283.45,out,agency_banking_agent,4,3,0,0.29,0
BNK000132,2024-06-26,payment,10210.15,out,LankaQR,2,26,0,-0.23,0
BNK000133,2024-12-13,cash_in,53456.86,in,agency_banking_agent,4,13,0,-0.91,0
BNK000134,2023-12-15,payment,5225.49,out,LankaQR,4,15,0,-0.62,0
BNK000135,2025-08-28,cash_out,349187.67,out,agency_banking_agent,3,28,0,0.12,0
BNK000136,2025-02-10,cash_out,40270.17,out,agency_banking_agent,0,10,0,-0.31,0
BNK000137,2023-09-30,cash_out,83725.12,out,agency_banking_agent,5,30,1,-0.25,0
BNK000138,2023-05-05,payment,41418.73,out,LankaQR,4,5,0,2.25,0
BNK000139,2025-02-23,cash_out,322451.15,out,agency_banking_agent,6,23,0,0.08,0
BNK000140,2023-12-02,transfer,414440.9,out,bank_transfer,5,2,0,-0.32,0
BNK000141,2024-10-24,payment,7420.47,out,LankaQR,3,24,0,-0.45,0
BNK000142,2023-08-03,cash_out,277328.95,out,agency_banking_agent,3,3,0,0.02,0
BNK000143,2023-01-17,cash_out,142953.17,out,agency_banking_agent,1,17,0,-0.17,0
BNK000144,2023-09-30,payment,24174.66,out,LankaQR,5,30,0,0.88,0
BNK000145,2025-12-02,cash_in,100846.78,in,agency_banking_agent,1,2,0,-0.54,0
BNK000146,2023-10-30,cash_in,375983.6,in,agency_banking_agent,0,30,0,1.63,0
BNK000147,2023-10-31,cash_out,275382.52,out,agency_banking_agent,1,31,0,0.02,0
BNK000148,2025-08-04,payment,14110.94,out,LankaQR,0,4,0,0.08,0
BNK000149,2024-04-12,cash_in,284661.47,in,agency_banking_agent,4,12,0,0.91,0
BNK000150,2024-05-28,cash_in,91850.41,in,agency_banking_agent,1,28,0,-0.61,0
BNK000151,2024-03-09,cash_out,46639.01,out,agency_banking_agent,5,9,1,-0.3,0
BNK000152,2024-01-22,cash_out,49292.45,out,agency_banking_agent,0,22,0,-0.3,0
BNK000153,2024-06-06,cash_out,52119.62,out,agency_banking_agent,3,6,0,-0.29,0
BNK000154,2024-10-28,payment,21353.83,out,LankaQR,0,28,0,0.66,0
BNK000155,2023-12-22,payment,12582.23,out,LankaQR,4,22,0,-0.04,0
BNK000156,2024-11-27,cash_in,44159.08,in,agency_banking_agent,2,27,0,-0.98,0
BNK000157,2025-04-25,transfer,358514.09,out,bank_transfer,4,25,0,-0.35,0
BNK000158,2023-04-15,cash_in,302557.11,in,agency_banking_agent,5,15,0,1.06,0
BNK000159,2024-05-21,payment,37434.13,out,LankaQR,1,21,0,1.93,0
BNK000160,2023-02-09,payment,9010.34,out,LankaQR,3,9,0,-0.32,0
BNK000161,2024-11-27,payment,3830.74,out,LankaQR,2,27,0,-0.73,0
BNK000162,2025-03-04,cash_out,197775.69,out,agency_banking_agent,1,4,0,-0.09,0
BNK000163,2023-08-03,cash_out,121365.7,out,agency_banking_agent,3,3,0,-0.2,0
BNK000164,2023-06-06,payment,1445.79,out,LankaQR,1,6,0,-0.92,0
BNK000165,2024-08-03,cash_in,26752.83,in,agency_banking_agent,5,3,0,-1.12,0
BNK000166,2025-07-01,cash_out,23950.25,out,agency_banking_agent,1,1,0,-0.33,0
BNK000167,2023-05-25,cash_out,289968.96,out,agency_banking_agent,3,25,0,0.04,0
BNK000168,2024-04-13,cash_in,116625.17,in,agency_banking_agent,5,13,0,-0.41,0
BNK000169,2024-01-07,cash_in,101246.94,in,agency_banking_agent,6,7,0,-0.53,0
BNK000170,2025-04-16,cash_out,403174.45,out,agency_banking_agent,2,16,0,0.19,0
BNK000171,2023-09-22,cash_out,358256.44,out,agency_banking_agent,4,22,0,0.13,0
BNK000172,2024-10-09,cash_in,3375.25,in,agency_banking_agent,2,9,0,-1.3,0
BNK000173,2024-09-06,cash_out,119057.55,out,agency_banking_agent,4,6,0,-0.2,0
BNK000174,2024-08-27,cash_in,140979.89,in,agency_banking_agent,1,27,0,-0.22,0
BNK000175,2024-10-21,transfer,506143.81,out,bank_transfer,0,21,0,-0.27,0
BNK000176,2025-08-10,payment,10563.24,out,LankaQR,6,10,0,-0.2,0
BNK000177,2023-02-18,cash_out,424301.0,out,agency_banking_agent,5,18,0,0.22,0
BNK000178,2024-10-19,transfer,62697.81,out,bank_transfer,5,19,0,-0.49,0
BNK000179,2025-08-19,payment,5605.2,out,LankaQR,1,19,0,-0.59,0
BNK000180,2023-05-01,cash_in,327109.92,in,agency_banking_agent,0,1,0,1.25,0
BNK000181,2023-04-01,payment,16017.61,out,LankaQR,5,1,0,0.23,0
BNK000182,2023-03-11,cash_in,163894.08,in,agency_banking_agent,5,11,0,-0.04,0
BNK000183,2025-08-17,payment,35199.76,out,LankaQR,6,17,1,1.75,0
BNK000184,2025-02-19,cash_out,317599.94,out,agency_banking_agent,2,19,0,0.07,0
BNK000185,2023-11-14,payment,10651.45,out,LankaQR,1,14,0,-0.19,0
BNK000186,2025-07-23,cash_in,72134.2,in,agency_banking_agent,2,23,0,-0.76,0
BNK000187,2024-10-09,payment,26141.99,out,LankaQR,2,9,0,1.04,0
BNK000188,2024-09-30,payment,23891.58,out,LankaQR,0,30,0,0.86,0
BNK000189,2023-03-26,cash_in,290778.36,in,agency_banking_agent,6,26,0,0.96,0
BNK000190,2025-02-20,cash_out,164441.73,out,agency_banking_agent,3,20,0,-0.14,0
BNK000191,2023-05-26,transfer,2132877.2,out,bank_transfer,4,26,0,0.54,0
BNK000192,2024-05-13,cash_in,387665.71,in,agency_banking_agent,0,13,0,1.73,0
BNK000193,2023-08-15,cash_in,183903.71,in,agency_banking_agent,1,15,0,0.12,0
BNK000194,2023-07-20,transfer,1649039.58,out,bank_transfer,3,20,0,0.3,1
BNK000195,2023-07-05,cash_out,108475.74,out,agency_banking_agent,2,5,0,-0.21,0
BNK000196,2023-01-24,cash_in,22709.11,in,agency_banking_agent,1,24,0,-1.15,0
BNK000197,2023-03-21,cash_out,228060.78,out,agency_banking_agent,1,21,0,-0.05,0
BNK000198,2024-08-20,transfer,322887.4,out,bank_transfer,1,20,0,-0.36,0
BNK000199,2024-03-05,cash_out,144056.17,out,agency_banking_agent,1,5,0,-0.16,0
BNK000200,2024-03-09,cash_in,250363.3,in,agency_banking_agent,5,9,0,0.64,0
BNK000201,2025-04-04,cash_out,684928.02,out,agency_banking_agent,4,4,0,0.58,0
BNK000202,2023-12-17,payment,31459.2,out,LankaQR,6,17,1,1.46,0
BNK000203,2025-07-06,payment,46112.96,out,LankaQR,6,6,0,2.62,0
BNK000204,2024-02-25,cash_out,161811.25,out,agency_banking_agent,6,25,0,-0.14,0
BNK000205,2025-05-23,cash_out,166610.15,out,agency_banking_agent,4,23,0,-0.13,0
BNK000206,2023-08-01,cash_out,174770.09,out,agency_banking_agent,1,1,0,-0.12,0
BNK000207,2023-01-15,transfer,1006176.53,out,bank_transfer,6,15,0,-0.02,0
BNK000208,2024-08-09,cash_out,208938.48,out,agency_banking_agent,4,9,0,-0.08,0
BNK000209,2024-11-02,cash_in,220991.4,in,agency_banking_agent,5,2,0,0.41,0
BNK000210,2024-04-01,cash_out,240358.61,out,agency_banking_agent,0,1,0,-0.03,0
BNK000211,2024-02-13,payment,6423.91,out,LankaQR,1,13,0,-0.53,0
BNK000212,2024-10-31,cash_in,76046.11,in,agency_banking_agent,3,31,0,-0.73,0
BNK000213,2025-06-07,cash_out,86885.56,out,agency_banking_agent,5,7,0,-0.24,0
BNK000214,2025-08-09,cash_in,188796.57,in,agency_banking_agent,5,9,0,0.16,0
BNK000215,2023-02-25,cash_out,10669.64,out,agency_banking_agent,5,25,0,-0.35,0
BNK000216,2024-07-31,cash_out,51158.52,out,agency_banking_agent,2,31,1,-0.29,0
BNK000217,2025-06-02,cash_out,425839.77,out,agency_banking_agent,0,2,0,0.22,0
BNK000218,2025-01-21,cash_in,260278.46,in,agency_banking_agent,1,21,0,0.72,0
BNK000219,2024-04-02,transfer,611436.8,out,bank_transfer,1,2,0,-0.22,0
BNK000220,2023-09-07,payment,19317.32,out,LankaQR,3,7,0,0.5,0
BNK000221,2025-10-31,cash_out,0.0,out,agency_banking_agent,4,31,0,-0.36,1
BNK000222,2023-08-01,payment,8850.57,out,LankaQR,1,1,0,-0.33,0
BNK000223,2024-04-20,cash_out,1649039.58,out,agency_banking_agent,5,20,0,1.91,1
BNK000224,2025-07-26,cash_out,207616.22,out,agency_banking_agent,5,26,0,-0.08,0
BNK000225,2024-08-09,payment,8629.44,out,LankaQR,4,9,0,-0.35,0
BNK000226,2025-06-12,cash_in,372039.4,in,agency_banking_agent,3,12,0,1.6,0
BNK000227,2023-06-07,transfer,969391.53,out,bank_transfer,2,7,0,-0.04,0
BNK000228,2024-01-20,cash_out,177607.84,out,agency_banking_agent,5,20,0,-0.12,0
BNK000229,2024-01-07,cash_in,81577.6,in,agency_banking_agent,6,7,0,-0.69,0
BNK000230,2025-10-01,transfer,1814483.97,out,bank_transfer,2,1,0,0.38,1
BNK000231,2024-06-09,cash_out,204545.84,out,agency_banking_agent,6,9,0,-0.08,0
BNK000232,2024-04-03,payment,998.61,out,LankaQR,2,3,0,-0.96,0
BNK000233,2025-06-20,payment,2232.35,out,LankaQR,4,20,0,-0.86,0
BNK000234,2025-10-09,cash_in,57379.29,in,agency_banking_agent,3,9,0,-0.88,0
BNK000235,2025-11-15,cash_out,21726.48,out,agency_banking_agent,5,15,0,-0.33,0
BNK000236,2024-11-07,payment,3425.28,out,LankaQR,3,7,0,-0.76,0
BNK000237,2025-12-01,payment,5262.05,out,LankaQR,0,1,0,-0.62,0
BNK000238,2025-10-07,cash_out,25987.37,out,agency_banking_agent,1,7,0,-0.33,0
BNK000239,2023-12-07,payment,3415.23,out,LankaQR,3,7,1,-0.76,0
BNK000240,2025-02-27,transfer,200230.41,out,bank_transfer,3,27,0,-0.42,0
BNK000241,2023-01-08,cash_out,294825.79,out,agency_banking_agent,6,8,0,0.04,0
BNK000242,2023-11-15,payment,39516.21,out,LankaQR,2,15,0,2.1,0
BNK000243,2025-05-14,cash_out,314922.63,out,agency_banking_agent,2,14,0,0.07,0
BNK000244,2025-12-09,cash_out,66081.15,out,agency_banking_agent,1,9,0,-0.27,0
BNK000245,2025-01-19,cash_out,125416.44,out,agency_banking_agent,6,19,0,-0.19,0
BNK000246,2024-10-02,cash_in,27068.2,in,agency_banking_agent,2,2,0,-1.12,0
BNK000247,2023-08-10,payment,16816.32,out,LankaQR,3,10,0,0.3,0
BNK000248,2023-10-31,cash_in,93610.72,in,agency_banking_agent,1,31,0,-0.59,0
BNK000249,2025-03-21,cash_in,130462.63,in,agency_banking_agent,4,21,0,-0.3,0
BNK000250,2024-07-15,cash_out,53216.69,out,agency_banking_agent,0,15,0,-0.29,0
BNK000251,2024-03-15,payment,10679.68,out,LankaQR,4,15,0,-0.19,0
BNK000252,2025-11-17,cash_in,56956.14,in,agency_banking_agent,0,17,1,-0.88,0
BNK000253,2025-04-26,cash_out,136813.87,out,agency_banking_agent,5,26,0,-0.17,0
BNK000254,2024-08-12,cash_out,160229.65,out,agency_banking_agent,0,12,0,-0.14,0
BNK000255,2024-02-28,payment,2193.42,out,LankaQR,2,28,0,-0.86,0
BNK000256,2025-11-10,payment,17968.82,out,LankaQR,0,10,0,0.39,0
BNK000257,2024-06-30,cash_out,249474.26,out,agency_banking_agent,6,30,0,-0.02,0
BNK000258,2023-07-06,cash_out,390351.57,out,agency_banking_agent,3,6,1,0.18,0
BNK000259,2023-08-14,transfer,534255.94,out,bank_transfer,0,14,0,-0.26,1
BNK000260,2024-04-30,cash_in,46067.14,in,agency_banking_agent,1,30,0,-0.97,0
BNK000261,2025-06-30,payment,7580.28,out,LankaQR,0,30,0,-0.43,0
BNK000262,2023-03-18,cash_out,70603.46,out,agency_banking_agent,5,18,0,-0.27,0
BNK000263,2023-07-16,payment,8457.28,out,LankaQR,6,16,0,-0.36,0
BNK000264,2024-06-27,payment,4054.64,out,LankaQR,3,27,1,-0.71,0
BNK000265,2023-09-06,payment,1235.01,out,LankaQR,2,6,0,-0.94,0
BNK000266,2025-09-27,payment,12781.83,out,LankaQR,5,27,0,-0.02,0
BNK000267,2024-06-18,cash_out,277098.99,out,agency_banking_agent,1,18,0,0.02,0
BNK000268,2025-06-16,payment,1873.41,out,LankaQR,0,16,0,-0.89,0
BNK000269,2023-06-17,transfer,54583.71,out,bank_transfer,5,17,0,-0.5,1
BNK000270,2025-11-14,transfer,1873482.64,out,bank_transfer,4,14,0,0.41,0
BNK000271,2025-07-22,cash_out,201403.61,out,agency_banking_agent,1,22,1,-0.09,0
BNK000272,2024-04-07,cash_out,67463.71,out,agency_banking_agent,6,7,0,-0.27,0
BNK000273,2024-09-11,cash_in,226721.98,in,agency_banking_agent,2,11,0,0.46,0
BNK000274,2025-08-21,cash_in,462220.29,in,agency_banking_agent,3,21,0,2.31,0
BNK000275,2025-02-14,transfer,49950.63,out,bank_transfer,4,14,0,-0.5,1
BNK000276,2023-12-27,cash_out,158201.4,out,agency_banking_agent,2,27,0,-0.15,0
BNK000277,2024-10-14,payment,10874.36,out,LankaQR,0,14,0,-0.17,0
BNK000278,2024-03-19,payment,12351.5,out,LankaQR,1,19,0,-0.06,0
BNK000279,2023-05-26,cash_in,241428.39,in,agency_banking_agent,4,26,0,0.57,0
BNK000280,2024-11-23,payment,16477.58,out,LankaQR,5,23,0,0.27,0
BNK000281,2024-12-21,cash_out,173749.84,out,agency_banking_agent,5,21,0,-0.12,0
BNK000282,2024-11-05,payment,4154.96,out,LankaQR,1,5,0,-0.71,0
BNK000283,2025-07-17,cash_out,195466.88,out,agency_banking_agent,3,17,0,-0.09,0
BNK000284,2023-06-02,payment,1257.92,out,LankaQR,4,2,0,-0.94,0
BNK000285,2023-03-31,payment,1667.24,out,LankaQR,4,31,0,-0.9,0
BNK000286,2024-02-10,cash_out,92763.96,out,agency_banking_agent,5,10,0,-0.24,0
BNK000287,2025-03-23,payment,18904.77,out,LankaQR,6,23,0,0.46,0
BNK000288,2025-10-16,transfer,3779783.34,out,bank_transfer,3,16,0,1.37,0
BNK000289,2024-01-09,payment,35107.42,out,LankaQR,1,9,0,1.75,0
BNK000290,2023-04-03,cash_out,139913.94,out,agency_banking_agent,0,3,0,-0.17,0
BNK000291,2025-10-27,payment,58.02,out,LankaQR,0,27,0,-1.03,0
BNK000292,2023-04-04,payment,2654.76,out,LankaQR,1,4,0,-0.82,0
BNK000293,2023-12-23,payment,11474.39,out,LankaQR,5,23,0,-0.13,0
BNK000294,2023-04-08,cash_in,225962.26,in,agency_banking_agent,5,8,0,0.45,0
BNK000295,2023-12-03,cash_out,289178.15,out,agency_banking_agent,6,3,0,0.04,0
BNK000296,2024-08-08,cash_out,62975.28,out,agency_banking_agent,3,8,0,-0.28,0
BNK000297,2024-03-12,cash_out,337863.49,out,agency_banking_agent,1,12,0,0.1,0
BNK000298,2023-11-04,cash_out,233341.19,out,agency_banking_agent,5,4,0,-0.04,0
BNK000299,2024-05-02,cash_out,95202.78,out,agency_banking_agent,3,2,0,-0.23,0
BNK000300,2023-11-11,cash_in,111675.19,in,agency_banking_agent,5,11,1,-0.45,0
BNK000301,2024-08-29,cash_in,44433.08,in,agency_banking_agent,3,29,0,-0.98,0
BNK000302,2025-03-12,transfer,381765.85,out,bank_transfer,2,12,0,-0.33,0
BNK000303,2024-08-17,payment,10905.37,out,LankaQR,5,17,0,-0.17,0
BNK000304,2023-01-10,transfer,993146.99,out,bank_transfer,1,10,0,-0.03,0
BNK000305,2023-07-26,payment,16350.74,out,LankaQR,2,26,0,0.26,0
BNK000306,2025-12-26,cash_in,47270.83,in,agency_banking_agent,4,26,0,-0.96,0
BNK000307,2025-12-15,cash_out,93163.57,out,agency_banking_agent,0,15,0,-0.24,0
BNK000308,2023-08-23,cash_in,174583.82,in,agency_banking_agent,2,23,0,0.05,0
BNK000309,2023-09-27,payment,15909.16,out,LankaQR,2,27,0,0.23,0
BNK000310,2025-06-07,cash_in,18665.61,in,agency_banking_agent,5,7,0,-1.18,0
