shop_id,year_month,months_active,monthly_revenue_rs,monthly_expenses_rs,monthly_profit_rs,profit_margin_pct,avg_daily_txns,sales_volatility,credit_sales_ratio,digital_payment_ratio,stockout_rate,target_credit_ready
SHOP_0018,2025-01,33,76806,42298,34508,44.93,13.12,4.089,0.273,0.792,0.344,1
SHOP_0019,2025-01,12,164936,140807,24129,14.63,1.37,3.907,0.103,0.206,0.293,0
SHOP_0020,2025-01,22,38210,32902,5308,13.89,1.55,3.964,0.378,0.847,0.204,1
SHOP_0021,2025-01,25,86410,61577,24833,28.74,9.42,3.569,0.402,0.32,0.565,0
SHOP_0022,2025-01,27,144732,121828,22904,15.83,11.22,1.346,0.276,0.032,0.337,1
SHOP_0023,2025-01,28,103857,101280,2577,2.48,17.81,4.324,0.244,0.804,0.458,1
SHOP_0024,2025-01,16,83509,53145,30364,36.36,2.54,4.478,0.057,0.896,0.132,1
SHOP_0025,2025-01,15,147375,104507,42868,29.09,16.54,1.051,0.042,0.63,0.373,1
SHOP_0026,2025-01,3,11023,8200,2823,25.61,4.6,0.739,0.17,0.235,0.223,0
SHOP_0027,2025-01,7,117538,54950,62588,53.25,8.18,4.88,0.155,0.254,0.368,0
SHOP_0028,2025-01,21,46265,31334,14931,32.27,6.67,4.355,0.477,0.454,0.547,0
SHOP_0029,2025-01,9,20304,10606,9698,47.76,8.3,4.477,0.392,0.855,0.538,1
SHOP_0030,2025-01,18,104594,94772,9822,9.39,3.43,4.443,0.33,0.159,0.248,0
SHOP_0031,2025-01,4,191293,129758,61535,32.17,10.32,2.754,0.259,0.788,0.486,1
SHOP_0032,2025-01,25,66422,34538,31884,48.0,16.13,3.267,0.084,0.291,0.659,1
SHOP_0033,2025-01,14,142488,95603,46885,32.9,9.11,2.772,0.489,0.772,0.438,0
SHOP_0034,2025-01,9,226069,135518,90551,40.05,10.07,0.351,0.188,0.876,0.104,1
SHOP_0035,2025-01,26,183586,143714,39872,21.72,17.05,3.753,0.053,0.418,0.476,1
SHOP_0036,2025-01,2,230493,214589,15904,6.9,14.27,2.576,0.247,0.359,0.073,1
SHOP_0037,2025-01,20,122945,90649,32296,26.27,10.06,3.274,0.437,0.766,0.61,0
SHOP_0038,2025-01,28,77096,59435,17661,22.91,5.53,2.563,0.444,0.512,0.362,0
SHOP_0039,2025-01,7,23828,12401,11427,47.95,17.76,2.51,0.005,0.657,0.27,1
SHOP_0040,2025-01,8,61559,52367,9192,14.93,11.75,0.942,0.443,0.599,0.04,0
SHOP_0041,2025-01,35,40527,18952,21575,53.24,4.81,1.466,0.136,0.162,0.267,1
SHOP_0042,2025-01,14,334255,157831,176424,52.78,5.75,0.878,0.019,0.806,0.632,0
SHOP_0043,2025-01,17,64659,54880,9779,15.12,16.16,1.059,0.424,0.202,0.015,0
SHOP_0044,2025-01,36,79717,63417,16300,20.45,1.36,4.868,0.432,0.887,0.332,1
SHOP_0045,2025-01,4,107585,54369,53216,49.46,19.85,0.85,0.298,0.253,0.652,0
SHOP_0046,2025-01,2,75397,35262,40135,53.23,3.04,1.419,0.287,0.703,0.276,0
SHOP_0047,2025-01,6,239554,178462,61092,25.5,16.02,2.994,0.407,0.285,0.3,0
SHOP_0048,2025-01,4,47294,38302,8992,19.01,8.2,3.09,0.393,0.316,0.405,0
SHOP_0049,2025-01,29,83803,58760,25043,29.88,10.1,0.854,0.445,0.308,0.324,1
SHOP_0050,2025-01,18,43489,26767,16722,38.45,17.67,3.989,0.276,0.716,0.118,1
SHOP_0051,2025-01,26,29027,24239,4788,16.49,8.55,3.947,0.484,0.538,0.013,0
SHOP_0052,2025-01,34,47656,28101,19555,41.03,10.98,1.263,0.498,0.841,0.427,1
SHOP_0053,2025-01,10,71259,67883,3376,4.74,1.46,1.514,0.058,0.306,0.645,0
SHOP_0054,2025-01,36,54149,51651,2498,4.61,0.55,4.696,0.425,0.664,0.074,1
SHOP_0055,2025-01,14,45040,34918,10122,22.47,5.27,4.146,0.25,0.72,0.148,1
SHOP_0056,2025-01,31,27326,21660,5666,20.73,13.77,3.519,0.194,0.161,0.259,0
SHOP_0057,2025-01,15,68998,56076,12922,18.73,2.86,0.503,0.307,0.393,0.566,0
SHOP_0058,2025-01,8,25507,18359,7148,28.02,2.72,2.149,0.028,0.469,0.188,0
SHOP_0059,2025-01,14,124497,100844,23653,19.0,8.51,2.841,0.253,0.351,0.617,0
SHOP_0060,2025-01,23,77475,68031,9444,12.19,13.13,1.018,0.435,0.32,0.038,1
SHOP_0061,2025-01,21,26363,21512,4851,18.4,14.39,2.296,0.107,0.658,0.659,0
SHOP_0062,2025-01,16,58897,27287,31610,53.67,3.98,3.045,0.213,0.221,0.393,0
SHOP_0063,2025-01,18,43195,32919,10276,23.79,2.05,1.704,0.47,0.68,0.461,0
SHOP_0064,2025-01,24,91439,68058,23381,25.57,18.84,3.927,0.214,0.89,0.257,0
SHOP_0065,2025-01,26,186897,126049,60848,32.56,5.58,4.218,0.179,0.546,0.547,1
SHOP_0066,2025-01,25,19680,9030,10650,54.12,17.14,1.686,0.22,0.589,0.117,1
SHOP_0067,2025-01,29,79262,67527,11735,14.8,17.34,4.209,0.26,0.084,0.034,1
SHOP_0068,2025-01,15,65376,40463,24913,38.11,15.56,0.608,0.316,0.824,0.277,1
SHOP_0069,2025-01,1,117001,70262,46739,39.95,3.79,4.205,0.4,0.285,0.598,1
SHOP_0070,2025-01,25,84901,55875,29026,34.19,16.53,0.848,0.226,0.592,0.528,0
SHOP_0071,2025-01,7,43201,40309,2892,6.69,15.5,0.506,0.409,0.931,0.362,0
SHOP_0072,2025-01,9,58493,36339,22154,37.87,12.14,3.245,0.267,0.574,0.4,0
SHOP_0073,2025-01,24,41889,39628,2261,5.4,7.08,2.412,0.169,0.694,0.091,0
SHOP_0074,2025-01,1,155314,103135,52179,33.6,5.62,4.549,0.329,0.434,0.588,0
SHOP_0075,2025-01,8,74230,43649,30581,41.2,2.88,1.88,0.359,0.076,0.551,0
SHOP_0076,2025-01,24,276740,240262,36478,13.18,10.44,1.507,0.279,0.762,0.46,1
SHOP_0077,2025-01,11,70090,37424,32666,46.61,11.91,2.554,0.028,0.053,0.326,0
SHOP_0078,2025-01,17,44539,42932,1607,3.61,7.51,2.334,0.085,0.672,0.675,0
SHOP_0079,2025-01,8,25347,13504,11843,46.72,9.77,1.788,0.143,0.041,0.615,1
SHOP_0080,2025-01,35,20698,15234,5464,26.4,7.59,3.499,0.141,0.822,0.451,1
SHOP_0081,2025-01,35,24127,20862,3265,13.53,13.0,3.822,0.337,0.167,0.26,1
SHOP_0082,2025-01,33,88167,80152,8015,9.09,18.07,4.28,0.009,0.498,0.433,1
SHOP_0083,2025-01,5,104413,49570,54843,52.53,3.7,4.867,0.378,0.575,0.403,0
SHOP_0084,2025-01,28,24177,22762,1415,5.85,7.94,1.407,0.133,0.446,0.276,1
SHOP_0085,2025-01,7,136834,119659,17175,12.55,3.25,3.609,0.155,0.337,0.215,0
SHOP_0086,2025-01,9,52149,41493,10656,20.43,12.69,2.032,0.264,0.455,0.285,1
SHOP_0087,2025-01,8,81045,52783,28262,34.87,14.71,3.418,0.108,0.31,0.402,1
SHOP_0088,2025-01,12,226060,156265,69795,30.87,18.67,2.432,0.442,0.427,0.3,0
SHOP_0089,2025-01,34,137007,125143,11864,8.66,5.94,4.969,0.043,0.354,0.185,0
SHOP_0090,2025-01,33,60599,50082,10517,17.36,19.03,3.672,0.222,0.547,0.533,0
SHOP_0091,2025-01,23,39190,33447,5743,14.65,1.73,4.767,0.425,0.241,0.372,0
SHOP_0092,2025-01,24,16216,14056,2160,13.32,12.26,4.191,0.308,0.939,0.047,1
SHOP_0093,2025-01,35,44205,33688,10517,23.79,1.61,4.524,0.146,0.486,0.258,1
SHOP_0094,2025-01,22,63083,38283,24800,39.31,17.93,4.091,0.21,0.201,0.619,0
SHOP_0095,2025-01,27,36643,31687,4956,13.53,10.83,2.35,0.353,0.464,0.529,0
SHOP_0096,2025-01,35,66711,52412,14299,21.43,13.55,1.334,0.487,0.826,0.226,1
SHOP_0097,2025-01,1,77172,59640,17532,22.72,16.72,1.915,0.447,0.04,0.657,0
SHOP_0098,2025-01,35,62480,28896,33584,53.75,3.43,0.199,0.171,0.652,0.054,1
SHOP_0099,2025-01,14,46397,21993,24404,52.6,1.25,2.668,0.499,0.53,0.673,0
SHOP_0100,2025-01,3,82294,45749,36545,44.41,17.64,2.575,0.002,0.178,0.172,0
SHOP_0101,2025-01,1,99644,84889,14755,14.81,6.64,2.674,0.014,0.78,0.006,1
SHOP_0102,2025-01,5,34089,32178,1911,5.61,3.02,4.873,0.412,0.363,0.304,0
SHOP_0103,2025-01,26,196350,159444,36906,18.8,9.63,4.566,0.1,0.293,0.251,1
SHOP_0104,2025-01,14,68254,57238,11016,16.14,12.17,0.892,0.03,0.79,0.377,0
SHOP_0105,2025-01,27,74102,52750,21352,28.81,1.1,1.908,0.119,0.614,0.558,1
SHOP_0106,2025-01,9,120060,68171,51889,43.22,5.86,2.177,0.213,0.855,0.59,1
SHOP_0107,2025-01,15,86099,45210,40889,47.49,1.14,1.867,0.365,0.606,0.281,0
SHOP_0108,2025-01,15,142514,75849,66665,46.78,8.7,4.013,0.312,0.709,0.301,1
SHOP_0109,2025-01,26,89410,70578,18832,21.06,17.95,2.668,0.119,0.798,0.104,1
SHOP_0110,2025-01,13,47634,29331,18303,38.42,19.66,2.903,0.252,0.071,0.033,1
SHOP_0111,2025-01,32,94188,76688,17500,18.58,12.92,4.28,0.463,0.742,0.449,1
SHOP_0112,2025-01,32,32840,31123,1717,5.23,3.65,4.049,0.408,0.591,0.045,1
SHOP_0113,2025-01,4,78904,47987,30917,39.18,18.16,0.748,0.162,0.085,0.514,1
SHOP_0114,2025-01,30,71449,69648,1801,2.52,10.57,3.598,0.491,0.493,0.377,0
SHOP_0115,2025-01,23,63216,48242,14974,23.69,3.5,2.234,0.354,0.097,0.139,0
SHOP_0116,2025-01,15,66838,53833,13005,19.46,18.47,1.544,0.031,0.704,0.378,0
SHOP_0117,2025-01,29,19589,11998,7591,38.75,15.27,0.345,0.018,0.528,0.128,1
SHOP_0118,2025-01,36,49806,28583,21223,42.61,14.77,2.488,0.084,0.907,0.307,1
SHOP_0119,2025-01,13,78041,63902,14139,18.12,14.33,1.842,0.364,0.19,0.56,0
SHOP_0120,2025-01,32,81789,44971,36818,45.02,4.41,1.332,0.092,0.584,0.323,1
SHOP_0121,2025-01,7,35619,29358,6261,17.58,4.61,3.504,0.256,0.217,0.104,1
SHOP_0122,2025-01,22,177370,131865,45505,25.66,13.92,3.87,0.047,0.591,0.507,0
SHOP_0123,2025-01,28,39882,23717,16165,40.53,4.78,1.299,0.46,0.692,0.131,1
SHOP_0124,2025-01,2,144151,88329,55822,38.72,9.05,0.342,0.172,0.692,0.517,0
SHOP_0125,2025-01,6,98621,45040,53581,54.33,15.75,4.259,0.454,0.778,0.336,1
SHOP_0126,2025-01,28,46520,40038,6482,13.93,15.79,0.149,0.472,0.814,0.318,1
SHOP_0127,2025-01,28,253398,159380,94018,37.1,9.34,4.692,0.003,0.092,0.596,0
SHOP_0128,2025-01,20,31712,20831,10881,34.31,15.95,3.175,0.232,0.339,0.496,0
SHOP_0129,2025-01,30,139164,68886,70278,50.5,16.85,1.677,0.012,0.659,0.023,1
SHOP_0130,2025-01,11,147327,132171,15156,10.29,13.27,1.308,0.454,0.484,0.207,0
SHOP_0131,2025-01,28,45733,26596,19137,41.85,4.95,0.144,0.259,0.197,0.61,1
SHOP_0132,2025-01,25,193828,131574,62254,32.12,5.84,1.254,0.037,0.534,0.013,1
SHOP_0133,2025-01,33,61388,51224,10164,16.56,6.64,0.775,0.055,0.399,0.382,1
SHOP_0134,2025-01,1,89508,65211,24297,27.15,2.78,3.1,0.192,0.383,0.509,0
SHOP_0135,2025-01,27,87748,70470,17278,19.69,5.83,0.916,0.47,0.773,0.435,0
SHOP_0136,2025-01,13,66568,44798,21770,32.7,4.59,2.69,0.346,0.399,0.532,0
SHOP_0137,2025-01,3,129000,65639,63361,49.12,9.38,2.992,0.434,0.045,0.508,1
SHOP_0138,2025-01,6,127445,86442,41003,32.17,18.21,1.56,0.183,0.074,0.484,0
SHOP_0139,2025-01,8,21505,13875,7630,35.48,2.54,0.272,0.022,0.816,0.575,1
SHOP_0140,2025-01,27,182232,128485,53747,29.49,14.55,0.283,0.487,0.913,0.452,1
SHOP_0141,2025-01,9,22840,21764,1076,4.71,13.9,0.229,0.009,0.66,0.282,0
SHOP_0142,2025-01,33,150660,129053,21607,14.34,2.37,3.722,0.474,0.359,0.33,1
SHOP_0143,2025-01,24,160925,115744,45181,28.08,18.49,1.658,0.184,0.893,0.502,1
SHOP_0144,2025-01,15,34075,27791,6284,18.44,11.59,4.002,0.005,0.636,0.613,0
SHOP_0145,2025-01,32,54854,48473,6381,11.63,7.59,2.215,0.345,0.805,0.191,1
SHOP_0146,2025-01,32,33725,24040,9685,28.72,15.25,2.32,0.49,0.732,0.239,1
SHOP_0147,2025-01,24,62916,50893,12023,19.11,5.52,2.613,0.483,0.373,0.652,0
SHOP_0148,2025-01,12,58946,49703,9243,15.68,14.02,3.594,0.08,0.465,0.405,1
SHOP_0149,2025-01,2,126218,92655,33563,26.59,1.27,1.44,0.091,0.193,0.125,1
SHOP_0150,2025-01,3,182995,166408,16587,9.06,16.87,0.696,0.283,0.292,0.465,0
SHOP_0151,2025-01,17,194265,94859,99406,51.17,9.24,2.825,0.319,0.744,0.694,0
SHOP_0152,2025-01,2,49340,25663,23677,47.99,12.92,1.702,0.37,0.851,0.576,0
SHOP_0153,2025-01,2,63167,38214,24953,39.5,4.81,2.268,0.091,0.694,0.522,0
SHOP_0154,2025-01,28,22507,20790,1717,7.63,13.7,3.27,0.48,0.453,0.146,0
SHOP_0155,2025-01,23,41601,23662,17939,43.12,15.56,2.521,0.319,0.1,0.613,0
SHOP_0156,2025-01,32,143688,79285,64403,44.82,9.73,3.139,0.424,0.073,0.368,1
SHOP_0157,2025-01,33,226592,129856,96736,42.69,12.55,2.767,0.27,0.368,0.623,0
SHOP_0158,2025-01,1,30821,28343,2478,8.04,9.4,3.725,0.207,0.451,0.231,0
SHOP_0159,2025-01,19,48304,30853,17451,36.13,17.93,3.559,0.489,0.586,0.043,1
SHOP_0160,2025-01,2,71791,38610,33181,46.22,10.21,2.718,0.291,0.026,0.333,0
SHOP_0161,2025-01,26,88975,59969,29006,32.6,16.92,3.427,0.433,0.94,0.189,1
SHOP_0162,2025-01,32,41493,26448,15045,36.26,16.13,4.38,0.477,0.358,0.501,1
SHOP_0163,2025-01,6,98405,72531,25874,26.29,8.5,2.218,0.338,0.809,0.67,0
SHOP_0164,2025-01,32,52487,36730,15757,30.02,4.99,2.123,0.274,0.518,0.484,0
SHOP_0165,2025-01,4,72394,69627,2767,3.82,8.42,3.845,0.002,0.141,0.621,0
SHOP_0166,2025-01,11,107194,68749,38445,35.87,16.61,2.955,0.02,0.762,0.317,0
SHOP_0167,2025-01,17,73460,68820,4640,6.32,4.94,0.448,0.1,0.68,0.54,0
SHOP_0168,2025-01,24,53881,40381,13500,25.06,10.73,4.471,0.093,0.511,0.59,0
SHOP_0169,2025-01,5,67729,55869,11860,17.51,16.22,0.251,0.127,0.499,0.498,0
SHOP_0170,2025-01,34,68744,47497,21247,30.91,7.39,3.767,0.152,0.101,0.355,1
SHOP_0171,2025-01,6,56443,51323,5120,9.07,13.02,3.818,0.18,0.63,0.438,0
SHOP_0172,2025-01,22,61013,37427,23586,38.66,5.29,4.77,0.21,0.867,0.49,1
SHOP_0173,2025-01,11,223922,125093,98829,44.14,2.63,0.365,0.049,0.107,0.177,1
SHOP_0174,2025-01,16,108298,96756,11542,10.66,15.99,3.025,0.021,0.265,0.567,0
SHOP_0175,2025-01,33,59466,54989,4477,7.53,2.43,2.196,0.337,0.859,0.665,0
SHOP_0176,2025-01,9,119118,107549,11569,9.71,5.79,1.72,0.269,0.284,0.326,1
SHOP_0177,2025-01,6,57892,29821,28071,48.49,17.17,0.543,0.222,0.628,0.491,1
SHOP_0178,2025-01,16,166240,116378,49862,29.99,7.26,2.857,0.317,0.517,0.516,1
SHOP_0179,2025-01,29,94727,69373,25354,26.76,19.47,2.447,0.414,0.575,0.464,0
SHOP_0180,2025-01,3,67839,62645,5194,7.66,19.6,0.612,0.214,0.407,0.383,0
SHOP_0181,2025-01,20,100048,63604,36444,36.43,5.73,3.101,0.321,0.299,0.617,1
SHOP_0182,2025-01,36,24352,12662,11690,48.0,1.3,3.716,0.477,0.065,0.314,0
SHOP_0183,2025-01,19,33232,17981,15251,45.89,14.25,3.86,0.42,0.712,0.043,1
SHOP_0184,2025-01,26,31706,20552,11154,35.18,9.29,4.536,0.213,0.714,0.591,1
SHOP_0185,2025-01,3,80827,75986,4841,5.99,2.46,2.106,0.322,0.644,0.472,0
SHOP_0186,2025-01,19,245920,226352,19568,7.96,14.3,4.77,0.089,0.619,0.594,0
SHOP_0187,2025-01,20,348680,332594,16086,4.61,1.11,4.341,0.28,0.247,0.097,1
SHOP_0188,2025-01,32,114306,96421,17885,15.65,17.47,1.553,0.491,0.041,0.022,0
SHOP_0189,2025-01,7,103838,94295,9543,9.19,3.2,0.88,0.259,0.772,0.654,0
SHOP_0190,2025-01,33,20728,17457,3271,15.78,2.98,2.233,0.464,0.477,0.103,1
SHOP_0191,2025-01,18,50018,38810,11208,22.41,3.93,2.069,0.204,0.305,0.567,0
SHOP_0192,2025-01,1,42132,20233,21899,51.98,19.23,2.921,0.499,0.115,0.576,1
SHOP_0193,2025-01,11,47354,31088,16266,34.35,14.02,2.959,0.29,0.078,0.496,0
SHOP_0194,2025-01,28,65010,34941,30069,46.25,16.13,3.775,0.021,0.344,0.092,1
SHOP_0195,2025-01,25,52551,31715,20836,39.65,8.25,2.598,0.293,0.768,0.467,1
SHOP_0196,2025-01,23,18297,16840,1457,7.96,7.06,0.614,0.137,0.874,0.622,1
SHOP_0197,2025-01,31,123443,72827,50616,41.0,5.07,4.306,0.016,0.854,0.298,1
SHOP_0198,2025-01,30,34513,28791,5722,16.58,9.87,1.618,0.41,0.876,0.289,1
SHOP_0199,2025-01,35,86463,55446,31017,35.87,11.26,4.859,0.138,0.864,0.31,1
SHOP_0200,2025-01,7,312343,249653,62690,20.07,12.82,0.678,0.398,0.51,0.058,1
SHOP_0201,2025-01,16,38424,17338,21086,54.88,5.51,4.795,0.144,0.224,0.624,1
SHOP_0202,2025-01,26,12442,10455,1987,15.97,19.0,0.546,0.097,0.762,0.608,1
SHOP_0203,2025-01,2,59862,49809,10053,16.79,3.81,1.232,0.487,0.219,0.699,0
SHOP_0204,2025-01,1,158051,76930,81121,51.33,19.33,0.328,0.181,0.269,0.41,0
SHOP_0205,2025-01,12,288037,278514,9523,3.31,0.79,3.555,0.301,0.237,0.526,0
SHOP_0206,2025-01,5,30925,18888,12037,38.92,9.88,4.266,0.305,0.499,0.142,0
SHOP_0207,2025-01,32,103538,61665,41873,40.44,7.0,2.227,0.28,0.319,0.467,1
SHOP_0208,2025-01,9,52801,28339,24462,46.33,9.26,4.65,0.457,0.163,0.455,0
SHOP_0209,2025-01,35,67903,31476,36427,53.65,11.63,2.992,0.337,0.441,0.631,1
SHOP_0210,2025-01,19,465581,215532,250049,53.71,8.99,3.187,0.202,0.833,0.582,1
SHOP_0211,2025-01,16,25538,24144,1394,5.46,8.59,4.243,0.431,0.551,0.657,0
SHOP_0212,2025-01,3,87345,47553,39792,45.56,14.79,1.554,0.091,0.837,0.608,1
SHOP_0213,2025-01,20,101456,64674,36782,36.25,13.87,1.836,0.272,0.202,0.608,0
SHOP_0214,2025-01,24,156381,99600,56781,36.31,16.75,4.539,0.475,0.175,0.045,0
SHOP_0215,2025-01,33,78322,71428,6894,8.8,5.37,4.515,0.313,0.555,0.592,0
SHOP_0216,2025-01,24,90729,57649,33080,36.46,12.39,4.885,0.408,0.451,0.425,0
SHOP_0217,2025-01,11,55595,25534,30061,54.07,11.91,4.519,0.327,0.634,0.266,1
SHOP_0218,2025-01,8,88291,43857,44434,50.33,7.71,0.724,0.42,0.759,0.04,1
SHOP_0219,2025-01,36,57513,42977,14536,25.27,9.98,4.136,0.472,0.719,0.474,0
SHOP_0220,2025-01,20,112995,108343,4652,4.12,6.62,2.108,0.136,0.896,0.23,0
SHOP_0221,2025-01,35,56459,44489,11970,21.2,3.27,4.955,0.085,0.39,0.327,1
SHOP_0222,2025-01,25,95222,51612,43610,45.8,4.67,2.414,0.242,0.212,0.477,1
SHOP_0223,2025-01,35,71648,43577,28071,39.18,2.56,2.814,0.351,0.532,0.638,1
SHOP_0224,2025-01,25,160851,118474,42377,26.35,13.82,2.696,0.114,0.123,0.578,0
SHOP_0225,2025-01,29,70546,67075,3471,4.92,13.38,1.677,0.002,0.289,0.315,0
SHOP_0226,2025-01,18,21139,15933,5206,24.63,19.04,0.468,0.171,0.213,0.271,1
SHOP_0227,2025-01,18,176901,129388,47513,26.86,14.73,4.489,0.484,0.389,0.168,1
SHOP_0228,2025-01,2,38793,18926,19867,51.21,1.51,4.033,0.347,0.123,0.261,0
SHOP_0229,2025-01,35,46275,29626,16649,35.98,17.74,0.784,0.201,0.05,0.078,1
SHOP_0230,2025-01,16,48196,39271,8925,18.52,17.32,3.906,0.096,0.631,0.68,0
SHOP_0231,2025-01,36,191397,134281,57116,29.84,9.14,3.167,0.178,0.588,0.402,0
SHOP_0232,2025-01,33,16400,15498,902,5.5,11.92,2.105,0.085,0.679,0.089,1
SHOP_0233,2025-01,4,600000,278723,321277,53.55,19.53,1.345,0.053,0.634,0.247,1
SHOP_0234,2025-01,33,153160,120869,32291,21.08,10.88,4.313,0.453,0.126,0.383,1
SHOP_0235,2025-01,14,85500,62135,23365,27.33,18.15,3.531,0.499,0.291,0.373,1
SHOP_0236,2025-01,21,70374,55715,14659,20.83,2.12,2.784,0.082,0.14,0.025,1
SHOP_0237,2025-01,20,89312,55219,34093,38.17,4.23,3.087,0.027,0.804,0.666,1
SHOP_0238,2025-01,8,105323,66250,39073,37.1,9.09,0.546,0.165,0.715,0.193,0
SHOP_0239,2025-01,7,114881,69030,45851,39.91,11.9,2.422,0.231,0.207,0.011,0
SHOP_0240,2025-01,3,107896,90404,17492,16.21,16.42,1.049,0.102,0.337,0.054,0
SHOP_0241,2025-01,17,77863,63279,14584,18.73,19.77,1.121,0.151,0.919,0.406,1
SHOP_0242,2025-01,33,63695,58193,5502,8.64,8.08,3.34,0.1,0.573,0.096,0
SHOP_0243,2025-01,12,65782,41612,24170,36.74,1.42,4.565,0.387,0.765,0.029,1
SHOP_0244,2025-01,22,63804,61182,2622,4.11,16.12,2.078,0.356,0.266,0.266,0
SHOP_0245,2025-01,22,161723,107259,54464,33.68,12.29,1.118,0.317,0.215,0.436,0
SHOP_0246,2025-01,30,110801,57512,53289,48.09,4.37,3.279,0.194,0.749,0.078,1
SHOP_0247,2025-01,8,9337,4742,4595,49.21,10.15,4.369,0.455,0.658,0.219,1
SHOP_0248,2025-01,27,115743,85882,29861,25.8,14.98,3.767,0.485,0.653,0.292,0
SHOP_0249,2025-01,27,83811,61733,22078,26.34,15.52,4.357,0.087,0.534,0.112,1
SHOP_0250,2025-01,34,72179,67791,4388,6.08,10.24,2.729,0.112,0.544,0.354,1
SHOP_0251,2025-01,21,55717,34795,20922,37.55,6.45,3.784,0.263,0.704,0.06,1
SHOP_0252,2025-01,30,160633,87502,73131,45.53,19.49,0.786,0.046,0.271,0.033,1
SHOP_0253,2025-01,33,141955,120709,21246,14.97,13.44,1.807,0.218,0.348,0.364,0
SHOP_0254,2025-01,28,42573,32215,10358,24.33,8.46,2.009,0.291,0.831,0.174,1
SHOP_0255,2025-01,33,97240,52064,45176,46.46,5.97,2.605,0.261,0.307,0.067,1
SHOP_0256,2025-01,5,37043,19082,17961,48.49,14.76,4.652,0.165,0.528,0.297,1
SHOP_0257,2025-01,19,27841,23696,4145,14.89,5.22,4.384,0.271,0.673,0.641,0
SHOP_0258,2025-01,4,47160,32455,14705,31.18,3.85,0.759,0.479,0.95,0.507,0
SHOP_0259,2025-01,35,133743,117423,16320,12.2,10.83,0.947,0.103,0.425,0.571,1
SHOP_0260,2025-01,17,142513,131968,10545,7.4,6.15,1.852,0.327,0.418,0.61,0
SHOP_0261,2025-01,28,104732,52063,52669,50.29,12.76,1.525,0.022,0.804,0.681,0
SHOP_0262,2025-01,30,121488,66227,55261,45.49,2.8,3.112,0.033,0.769,0.534,1
SHOP_0263,2025-01,29,104959,60580,44379,42.28,13.27,4.524,0.276,0.7,0.426,1
SHOP_0264,2025-01,6,46675,44535,2140,4.58,6.02,4.815,0.052,0.451,0.256,0
SHOP_0265,2025-01,35,98948,52722,46226,46.72,0.5,3.303,0.011,0.321,0.127,1
SHOP_0266,2025-01,24,128064,95771,32293,25.22,2.98,4.207,0.086,0.586,0.481,0
SHOP_0267,2025-01,29,123996,99015,24981,20.15,18.71,2.673,0.282,0.835,0.696,0
SHOP_0268,2025-01,31,168087,116042,52045,30.96,17.41,1.121,0.352,0.842,0.327,0
SHOP_0269,2025-01,35,120068,111853,8215,6.84,5.06,2.671,0.101,0.121,0.507,0
SHOP_0270,2025-01,33,93528,54151,39377,42.1,15.68,2.82,0.334,0.418,0.347,1
SHOP_0271,2025-01,21,154679,103837,50842,32.87,12.37,3.738,0.091,0.452,0.302,0
SHOP_0272,2025-01,32,71785,63250,8535,11.89,19.43,1.177,0.307,0.929,0.287,0
SHOP_0273,2025-01,23,39446,34722,4724,11.98,7.79,1.905,0.206,0.651,0.353,0
SHOP_0274,2025-01,33,65242,57566,7676,11.77,13.79,1.884,0.327,0.399,0.257,1
