item,category,iso_year,iso_week,days_to_avurudu,festival_season,avg_wholesale_price_rs,avg_retail_price_rs,lag1_units,lag4_units,rolling4_mean_units,weekend_share,target_units_sold
Samba Rice (1),Grocery/Staple,2023,10,39,0,294.0,352.8,78,76,75.8,0.29,69
Samba Rice (1),Grocery/Staple,2023,11,32,0,292.26,350.71,69,62,74,0.29,69
Samba Rice (1),Grocery/Staple,2023,12,25,0,293.18,351.82,69,87,75.8,0.29,50
Samba Rice (1),Grocery/Staple,2023,13,18,1,292.51,351.01,50,78,66.5,0.29,72
Samba Rice (1),Grocery/Staple,2023,14,11,1,302.56,363.07,72,69,65,0.29,206
Samba Rice (1),Grocery/Staple,2023,15,4,1,305.17,366.2,206,69,99.2,0.29,250
Samba Rice (1),Grocery/Staple,2023,16,363,0,289.68,347.62,250,50,144.5,0.29,70
Samba Rice (1),Grocery/Staple,2023,17,356,0,286.11,343.33,70,72,149.5,0.29,64
Samba Rice (1),Grocery/Staple,2023,18,349,0,289.05,346.86,64,206,147.5,0.29,88
Samba Rice (1),Grocery/Staple,2023,19,342,0,285.84,343.01,88,250,118,0.29,58
Samba Rice (1),Grocery/Staple,2023,20,335,0,283.0,339.6,58,70,70,0.29,81
Samba Rice (1),Grocery/Staple,2023,21,328,0,285.73,342.88,81,64,72.8,0.29,65
Samba Rice (1),Grocery/Staple,2023,22,321,0,283.18,339.82,65,88,73,0.29,70
Samba Rice (1),Grocery/Staple,2023,23,314,0,282.71,339.25,70,58,68.5,0.29,74
Samba Rice (1),Grocery/Staple,2023,24,307,0,282.63,339.16,74,81,72.5,0.29,93
Samba Rice (1),Grocery/Staple,2023,25,300,0,282.22,338.66,93,65,75.5,0.29,68
Samba Rice (1),Grocery/Staple,2023,26,293,0,282.13,338.56,68,70,76.2,0.29,71
Samba Rice (1),Grocery/Staple,2023,27,286,0,282.26,338.71,71,74,76.5,0.29,86
Samba Rice (1),Grocery/Staple,2023,28,279,0,274.58,329.5,86,93,79.5,0.29,67
Samba Rice (1),Grocery/Staple,2023,29,272,0,279.48,335.38,67,68,73,0.29,81
Samba Rice (1),Grocery/Staple,2023,30,265,0,277.65,333.18,81,71,76.2,0.29,69
Samba Rice (1),Grocery/Staple,2023,31,258,0,279.1,334.92,69,86,75.8,0.29,87
Samba Rice (1),Grocery/Staple,2023,32,251,0,276.17,331.4,87,67,76,0.29,88
Samba Rice (1),Grocery/Staple,2023,33,244,0,278.49,334.19,88,81,81.2,0.29,74
Samba Rice (1),Grocery/Staple,2023,34,237,0,273.82,328.58,74,69,79.5,0.29,92
Samba Rice (1),Grocery/Staple,2023,35,230,0,274.62,329.54,92,87,85.2,0.29,80
Samba Rice (1),Grocery/Staple,2023,36,223,0,272.65,327.18,80,88,83.5,0.29,62
Samba Rice (1),Grocery/Staple,2023,37,216,0,271.37,325.64,62,74,77,0.29,77
Samba Rice (1),Grocery/Staple,2023,38,209,0,269.42,323.3,77,92,77.8,0.29,98
Samba Rice (1),Grocery/Staple,2023,39,202,0,271.26,325.51,98,80,79.2,0.29,65
Samba Rice (1),Grocery/Staple,2023,40,195,0,270.08,324.1,65,62,75.5,0.29,59
Samba Rice (1),Grocery/Staple,2023,41,188,0,270.62,324.74,59,77,74.8,0.29,74
Samba Rice (1),Grocery/Staple,2023,42,181,0,269.13,322.96,74,98,74,0.29,64
Samba Rice (1),Grocery/Staple,2023,43,174,0,262.76,315.31,64,65,65.5,0.29,73
Samba Rice (1),Grocery/Staple,2023,44,167,0,268.7,322.44,73,59,67.5,0.29,72
Samba Rice (1),Grocery/Staple,2023,45,160,0,265.66,318.79,72,74,70.8,0.29,76
Samba Rice (1),Grocery/Staple,2023,46,153,0,264.94,317.93,76,64,71.2,0.29,59
Samba Rice (1),Grocery/Staple,2023,47,146,0,263.71,316.45,59,73,70,0.29,55
Samba Rice (1),Grocery/Staple,2023,48,139,0,264.6,317.52,55,72,65.5,0.29,93
Samba Rice (1),Grocery/Staple,2023,49,132,0,262.76,315.31,93,76,70.8,0.29,62
Samba Rice (1),Grocery/Staple,2023,50,125,0,261.14,313.37,62,59,67.2,0.29,78
Samba Rice (1),Grocery/Staple,2023,51,118,0,262.36,314.83,78,55,72,0.29,86
Samba Rice (1),Grocery/Staple,2023,52,111,0,257.8,309.36,86,93,79.8,0.29,74
Samba Rice (1),Grocery/Staple,2024,1,104,0,258.3,309.96,74,62,75,0.29,57
Samba Rice (1),Grocery/Staple,2024,2,97,0,259.31,311.17,57,78,73.8,0.29,78
Samba Rice (1),Grocery/Staple,2024,3,90,0,259.59,311.51,78,86,73.8,0.29,90
Samba Rice (1),Grocery/Staple,2024,4,83,0,255.26,306.31,90,74,74.8,0.29,82
Samba Rice (1),Grocery/Staple,2024,5,76,0,257.18,308.62,82,57,76.8,0.29,81
Samba Rice (1),Grocery/Staple,2024,6,69,0,259.2,311.04,81,78,82.8,0.29,61
Samba Rice (1),Grocery/Staple,2024,7,62,0,254.12,304.94,61,90,78.5,0.29,93
Samba Rice (1),Grocery/Staple,2024,8,55,0,259.08,310.9,93,82,79.2,0.29,65
Samba Rice (1),Grocery/Staple,2024,9,48,0,257.01,308.41,65,81,75,0.29,49
Samba Rice (1),Grocery/Staple,2024,10,41,0,258.5,310.2,49,61,67,0.29,80
Samba Rice (1),Grocery/Staple,2024,11,34,0,258.21,309.85,80,93,71.8,0.29,93
Samba Rice (1),Grocery/Staple,2024,12,27,0,255.81,306.97,93,65,71.8,0.29,71
Samba Rice (1),Grocery/Staple,2024,13,20,1,256.54,307.85,71,49,73.2,0.29,66
Samba Rice (1),Grocery/Staple,2024,14,13,1,263.61,316.33,66,80,77.5,0.29,113
Samba Rice (1),Grocery/Staple,2024,15,6,1,268.91,322.69,113,93,85.8,0.29,250
Samba Rice (1),Grocery/Staple,2024,16,364,0,256.08,307.3,250,71,125,0.29,71
Samba Rice (1),Grocery/Staple,2024,17,357,0,256.55,307.86,71,66,125,0.29,91
Samba Rice (1),Grocery/Staple,2024,18,350,0,258.35,310.02,91,113,131.2,0.29,80
Samba Rice (1),Grocery/Staple,2024,19,343,0,254.7,305.64,80,250,123,0.29,68
Samba Rice (1),Grocery/Staple,2024,20,336,0,255.32,306.38,68,71,77.5,0.29,66
Samba Rice (1),Grocery/Staple,2024,21,329,0,252.74,303.29,66,91,76.2,0.29,85
Samba Rice (1),Grocery/Staple,2024,22,322,0,257.77,309.32,85,80,74.8,0.29,62
Samba Rice (1),Grocery/Staple,2024,23,315,0,257.85,309.42,62,68,70.2,0.29,55
Samba Rice (1),Grocery/Staple,2024,24,308,0,256.07,307.28,55,66,67,0.29,74
Samba Rice (1),Grocery/Staple,2024,25,301,0,258.17,309.8,74,85,69,0.29,76
Samba Rice (1),Grocery/Staple,2024,26,294,0,260.01,312.01,76,62,66.8,0.29,80
Samba Rice (1),Grocery/Staple,2024,27,287,0,255.22,306.26,80,55,71.2,0.29,72
Samba Rice (1),Grocery/Staple,2024,28,280,0,260.71,312.85,72,74,75.5,0.29,83
Samba Rice (1),Grocery/Staple,2024,29,273,0,255.83,307.0,83,76,77.8,0.29,58
Samba Rice (1),Grocery/Staple,2024,30,266,0,259.3,311.16,58,80,73.2,0.29,65
Samba Rice (1),Grocery/Staple,2024,31,259,0,257.67,309.2,65,72,69.5,0.29,67
Samba Rice (1),Grocery/Staple,2024,32,252,0,260.07,312.08,67,83,68.2,0.29,78
Samba Rice (1),Grocery/Staple,2024,33,245,0,257.38,308.86,78,58,67,0.29,78
Samba Rice (1),Grocery/Staple,2024,34,238,0,258.22,309.86,78,65,72,0.29,84
Samba Rice (1),Grocery/Staple,2024,35,231,0,256.38,307.66,84,67,76.8,0.29,71
Samba Rice (1),Grocery/Staple,2024,36,224,0,260.47,312.56,71,78,77.8,0.29,90
Samba Rice (1),Grocery/Staple,2024,37,217,0,258.09,309.71,90,78,80.8,0.29,60
Samba Rice (1),Grocery/Staple,2024,38,210,0,260.87,313.04,60,84,76.2,0.29,94
Samba Rice (1),Grocery/Staple,2024,39,203,0,258.21,309.85,94,71,78.8,0.29,94
Samba Rice (1),Grocery/Staple,2024,40,196,0,256.82,308.18,94,90,84.5,0.29,63
Samba Rice (1),Grocery/Staple,2024,41,189,0,258.93,310.72,63,60,77.8,0.29,76
Samba Rice (1),Grocery/Staple,2024,42,182,0,259.28,311.14,76,94,81.8,0.29,68
Samba Rice (1),Grocery/Staple,2024,43,175,0,257.53,309.04,68,94,75.2,0.29,70
Samba Rice (1),Grocery/Staple,2024,44,168,0,261.18,313.42,70,63,69.2,0.29,81
Samba Rice (1),Grocery/Staple,2024,45,161,0,259.83,311.8,81,76,73.8,0.29,67
Samba Rice (1),Grocery/Staple,2024,46,154,0,257.94,309.53,67,68,71.5,0.29,73
Samba Rice (1),Grocery/Staple,2024,47,147,0,261.82,314.18,73,70,72.8,0.29,75
Samba Rice (1),Grocery/Staple,2024,48,140,0,260.33,312.4,75,81,74,0.29,86
Samba Rice (1),Grocery/Staple,2024,49,133,0,264.05,316.86,86,67,75.2,0.29,83
Samba Rice (1),Grocery/Staple,2024,50,126,0,263.06,315.67,83,73,79.2,0.29,77
Samba Rice (1),Grocery/Staple,2024,51,119,0,260.09,312.11,77,75,80.2,0.29,76
Samba Rice (1),Grocery/Staple,2024,52,112,0,259.84,311.81,76,86,80.5,0.29,72
Samba Rice (1),Grocery/Staple,2025,1,105,0,263.22,315.86,72,83,77,0.29,86
Samba Rice (1),Grocery/Staple,2025,2,98,0,260.09,312.11,86,77,77.8,0.29,94
Samba Rice (1),Grocery/Staple,2025,3,91,0,261.44,313.73,94,76,82,0.29,82
Samba Rice (1),Grocery/Staple,2025,4,84,0,262.56,315.07,82,72,83.5,0.29,93
Samba Rice (1),Grocery/Staple,2025,5,77,0,264.29,317.15,93,86,88.8,0.29,109
Samba Rice (1),Grocery/Staple,2025,6,70,0,261.03,313.24,109,94,94.5,0.29,97
Samba Rice (1),Grocery/Staple,2025,7,63,0,259.96,311.95,97,82,95.2,0.29,88
Samba Rice (1),Grocery/Staple,2025,8,56,0,261.54,313.85,88,93,96.8,0.29,61
Samba Rice (1),Grocery/Staple,2025,9,49,0,263.04,315.65,61,109,88.8,0.29,81
Samba Rice (1),Grocery/Staple,2025,10,42,0,258.77,310.52,81,97,81.8,0.29,60
Samba Rice (1),Grocery/Staple,2025,11,35,0,263.67,316.4,60,88,72.5,0.29,68
Samba Rice (1),Grocery/Staple,2025,12,28,0,259.77,311.72,68,61,67.5,0.29,77
Samba Rice (1),Grocery/Staple,2025,13,21,1,263.79,316.55,77,81,71.5,0.29,75
Samba Rice (1),Grocery/Staple,2025,14,14,1,266.43,319.72,75,60,70,0.29,130
Samba Rice (1),Grocery/Staple,2025,15,7,1,272.83,327.4,130,68,87.5,0.29,361
Samba Rice (1),Grocery/Staple,2025,16,0,1,259.86,311.83,361,77,160.8,0.29,142
Samba Rice (1),Grocery/Staple,2025,17,358,0,261.0,313.2,142,75,177,0.29,77
Samba Rice (1),Grocery/Staple,2025,18,351,0,264.0,316.8,77,130,177.5,0.29,63
Samba Rice (1),Grocery/Staple,2025,19,344,0,260.99,313.19,63,361,160.8,0.29,90
Samba Rice (1),Grocery/Staple,2025,20,337,0,261.94,314.33,90,142,93,0.29,92
Samba Rice (1),Grocery/Staple,2025,21,330,0,262.57,315.08,92,77,80.5,0.29,64
Samba Rice (1),Grocery/Staple,2025,22,323,0,265.51,318.61,64,63,77.2,0.29,100
Samba Rice (1),Grocery/Staple,2025,23,316,0,261.63,313.96,100,90,86.5,0.29,83
Samba Rice (1),Grocery/Staple,2025,24,309,0,263.69,316.43,83,92,84.8,0.29,80
Samba Rice (1),Grocery/Staple,2025,25,302,0,262.1,314.52,80,64,81.8,0.29,88
Samba Rice (1),Grocery/Staple,2025,26,295,0,262.76,315.31,88,100,87.8,0.29,73
Samba Rice (1),Grocery/Staple,2025,27,288,0,262.09,314.51,73,83,81,0.29,80
Samba Rice (1),Grocery/Staple,2025,28,281,0,260.16,312.19,80,80,80.2,0.29,71
Samba Rice (1),Grocery/Staple,2025,29,274,0,262.08,314.5,71,88,78,0.29,84
Samba Rice (1),Grocery/Staple,2025,30,267,0,265.94,319.13,84,73,77,0.29,80
Samba Rice (1),Grocery/Staple,2025,31,260,0,260.94,313.13,80,80,78.8,0.29,74
Samba Rice (1),Grocery/Staple,2025,32,253,0,261.25,313.5,74,71,77.2,0.29,79
Samba Rice (1),Grocery/Staple,2025,33,246,0,260.56,312.67,79,84,79.2,0.29,83
Samba Rice (1),Grocery/Staple,2025,34,239,0,262.01,314.41,83,80,79,0.29,69
Samba Rice (1),Grocery/Staple,2025,35,232,0,260.34,312.41,69,74,76.2,0.29,69
Samba Rice (1),Grocery/Staple,2025,36,225,0,261.06,313.27,69,79,75,0.29,102
Samba Rice (1),Grocery/Staple,2025,37,218,0,261.4,313.68,102,83,80.8,0.29,85
Samba Rice (1),Grocery/Staple,2025,38,211,0,265.5,318.6,85,69,81.2,0.29,84
Samba Rice (1),Grocery/Staple,2025,39,204,0,260.53,312.64,84,69,85,0.29,98
Samba Rice (1),Grocery/Staple,2025,40,197,0,261.6,313.92,98,102,92.2,0.29,79
Samba Rice (1),Grocery/Staple,2025,41,190,0,264.02,316.82,79,85,86.5,0.29,90
Samba Rice (1),Grocery/Staple,2025,42,183,0,262.92,315.5,90,84,87.8,0.29,85
Samba Rice (1),Grocery/Staple,2025,43,176,0,262.39,314.87,85,98,88,0.29,87
Samba Rice (1),Grocery/Staple,2025,44,169,0,262.7,315.24,87,79,85.2,0.29,71
Samba Rice (1),Grocery/Staple,2025,45,162,0,267.05,320.46,71,90,83.2,0.29,83
Samba Rice (1),Grocery/Staple,2025,46,155,0,262.24,314.69,83,85,81.5,0.29,89
Samba Rice (1),Grocery/Staple,2025,47,148,0,263.03,315.64,89,87,82.5,0.29,94
Samba Rice (1),Grocery/Staple,2025,48,141,0,263.97,316.76,94,71,84.2,0.29,92
Samba Rice (1),Grocery/Staple,2025,49,134,0,263.68,316.42,92,83,89.5,0.29,98
Samba Rice (1),Grocery/Staple,2025,50,127,0,263.72,316.46,98,89,93.2,0.29,92
Samba Rice (1),Grocery/Staple,2025,51,120,0,265.7,318.84,92,94,94,0.29,97
Samba Rice (1),Grocery/Staple,2025,52,113,0,263.38,316.06,97,92,94.8,0.29,78
Samba Rice (1),Grocery/Staple,2026,1,106,0,264.29,317.15,78,98,91.2,0.29,70
Samba Rice (1),Grocery/Staple,2026,2,99,0,265.32,318.38,70,92,84.2,0.29,68
Samba Rice (1),Grocery/Staple,2026,3,92,0,262.66,315.19,68,97,78.2,0.29,76
Samba Rice (1),Grocery/Staple,2026,4,85,0,262.05,314.46,76,78,73,0.29,93
Samba Rice (1),Grocery/Staple,2026,5,78,0,264.89,317.87,93,70,76.8,0.29,87
Samba Rice (1),Grocery/Staple,2026,6,71,0,260.45,312.54,87,68,81,0.29,83
Samba Rice (1),Grocery/Staple,2026,7,64,0,266.16,319.39,83,76,84.8,0.29,71
Samba Rice (1),Grocery/Staple,2026,8,57,0,262.33,314.8,71,93,83.5,0.29,72
Samba Rice (1),Grocery/Staple,2026,9,50,0,264.56,317.47,72,87,78.2,0.29,84
Samba Rice (1),Grocery/Staple,2026,10,43,0,264.11,316.93,84,83,77.5,0.29,88
Samba Rice (1),Grocery/Staple,2026,11,36,0,262.38,314.86,88,71,78.8,0.29,99
Samba Rice (1),Grocery/Staple,2026,12,29,0,264.2,317.04,99,72,85.8,0.29,98
Samba Rice (1),Grocery/Staple,2026,13,22,0,265.51,318.61,98,84,92.2,0.29,94
Samba Rice (1),Grocery/Staple,2026,14,15,1,270.2,324.24,94,88,94.8,0.29,105
Samba Rice (1),Grocery/Staple,2026,15,8,1,276.22,331.46,105,99,99,0.29,270
Samba Rice (1),Grocery/Staple,2026,16,1,1,265.83,319.0,270,98,141.8,0.29,101
Samba Rice (1),Grocery/Staple,2026,17,359,0,262.46,314.95,101,94,142.5,0.29,78
Samba Rice (1),Grocery/Staple,2026,18,352,0,263.61,316.33,78,105,138.5,0.29,88
Samba Rice (1),Grocery/Staple,2026,19,345,0,262.49,314.99,88,270,134.2,0.29,75
Samba Rice (1),Grocery/Staple,2026,20,338,0,262.72,315.26,75,101,85.5,0.29,81
Samba Rice (1),Grocery/Staple,2026,21,331,0,264.46,317.35,81,78,80.5,0.29,52
Samba Rice (1),Grocery/Staple,2026,22,324,0,265.91,319.09,52,88,74,0.29,107
Samba Rice (1),Grocery/Staple,2026,23,317,0,259.48,311.38,107,75,78.8,0.29,74
Samba Rice (1),Grocery/Staple,2026,24,310,0,260.88,313.06,74,81,78.5,0.0,33
Keeri Samba Rice,Grocery/Staple,2022,24,305,0,205.33,246.4,38,38,38,0.29,38
Keeri Samba Rice,Grocery/Staple,2022,25,298,0,214.46,257.35,38,52,38,0.29,52
Keeri Samba Rice,Grocery/Staple,2022,26,291,0,217.66,261.19,52,69,45,0.29,69
Keeri Samba Rice,Grocery/Staple,2022,27,284,0,221.76,266.11,69,52,53,0.29,52
Keeri Samba Rice,Grocery/Staple,2022,28,277,0,227.07,272.48,52,38,52.8,0.29,42
Keeri Samba Rice,Grocery/Staple,2022,29,270,0,236.03,283.24,42,52,53.8,0.29,49
Keeri Samba Rice,Grocery/Staple,2022,30,263,0,239.37,287.24,49,69,53,0.29,44
Keeri Samba Rice,Grocery/Staple,2022,31,256,0,244.18,293.02,44,52,46.8,0.29,51
Keeri Samba Rice,Grocery/Staple,2022,32,249,0,249.34,299.21,51,42,46.5,0.29,62
Keeri Samba Rice,Grocery/Staple,2022,33,242,0,257.21,308.65,62,49,51.5,0.29,49
Keeri Samba Rice,Grocery/Staple,2022,34,235,0,259.43,311.32,49,44,51.5,0.29,48
Keeri Samba Rice,Grocery/Staple,2022,35,228,0,264.06,316.87,48,51,52.5,0.29,47
Keeri Samba Rice,Grocery/Staple,2022,36,221,0,271.06,325.27,47,62,51.5,0.29,52
Keeri Samba Rice,Grocery/Staple,2022,37,214,0,274.86,329.83,52,49,49,0.29,46
Keeri Samba Rice,Grocery/Staple,2022,38,207,0,280.52,336.62,46,48,48.2,0.29,40
Keeri Samba Rice,Grocery/Staple,2022,39,200,0,287.58,345.1,40,47,46.2,0.29,57
Keeri Samba Rice,Grocery/Staple,2022,40,193,0,291.26,349.51,57,52,48.8,0.29,57
Keeri Samba Rice,Grocery/Staple,2022,41,186,0,295.24,354.29,57,46,50,0.29,36
Keeri Samba Rice,Grocery/Staple,2022,42,179,0,295.61,354.73,36,40,47.5,0.29,53
Keeri Samba Rice,Grocery/Staple,2022,43,172,0,300.44,360.53,53,57,50.8,0.29,42
Keeri Samba Rice,Grocery/Staple,2022,44,165,0,307.95,369.54,42,57,47,0.29,48
Keeri Samba Rice,Grocery/Staple,2022,45,158,0,314.37,377.24,48,36,44.8,0.29,56
Keeri Samba Rice,Grocery/Staple,2022,46,151,0,318.4,382.08,56,53,49.8,0.29,51
Keeri Samba Rice,Grocery/Staple,2022,47,144,0,317.87,381.44,51,42,49.2,0.29,34
Keeri Samba Rice,Grocery/Staple,2022,48,137,0,328.23,393.88,34,48,47.2,0.29,29
Keeri Samba Rice,Grocery/Staple,2022,49,130,0,330.69,396.83,29,56,42.5,0.29,47
Keeri Samba Rice,Grocery/Staple,2022,50,123,0,339.17,407.0,47,51,40.2,0.29,40
Keeri Samba Rice,Grocery/Staple,2022,51,116,0,341.01,409.21,40,34,37.5,0.29,41
Keeri Samba Rice,Grocery/Staple,2022,52,109,0,345.92,415.1,41,29,39.2,0.29,54
Keeri Samba Rice,Grocery/Staple,2023,1,102,0,348.89,418.67,54,47,45.5,0.29,48
Keeri Samba Rice,Grocery/Staple,2023,2,95,0,356.26,427.51,48,40,45.8,0.29,60
Keeri Samba Rice,Grocery/Staple,2023,3,88,0,359.14,430.97,60,41,50.8,0.29,48
Keeri Samba Rice,Grocery/Staple,2023,4,81,0,363.27,435.92,48,54,52.5,0.29,53
Keeri Samba Rice,Grocery/Staple,2023,5,74,0,369.68,443.62,53,48,52.2,0.29,41
Keeri Samba Rice,Grocery/Staple,2023,6,67,0,369.48,443.38,41,60,50.5,0.29,63
Keeri Samba Rice,Grocery/Staple,2023,7,60,0,377.94,453.53,63,48,51.2,0.29,39
Keeri Samba Rice,Grocery/Staple,2023,8,53,0,374.53,449.44,39,53,49,0.29,36
Keeri Samba Rice,Grocery/Staple,2023,9,46,0,381.06,457.27,36,41,44.8,0.29,39
Keeri Samba Rice,Grocery/Staple,2023,10,39,0,381.43,457.72,39,63,44.2,0.29,42
Keeri Samba Rice,Grocery/Staple,2023,11,32,0,377.87,453.44,42,39,39,0.29,41
Keeri Samba Rice,Grocery/Staple,2023,12,25,0,376.63,451.96,41,36,39.5,0.29,36
Keeri Samba Rice,Grocery/Staple,2023,13,18,1,382.44,458.93,36,39,39.5,0.29,62
Keeri Samba Rice,Grocery/Staple,2023,14,11,1,391.8,470.16,62,42,45.2,0.29,74
Keeri Samba Rice,Grocery/Staple,2023,15,4,1,389.26,467.11,74,41,53.2,0.29,150
Keeri Samba Rice,Grocery/Staple,2023,16,363,0,373.11,447.73,150,36,80.5,0.29,52
Keeri Samba Rice,Grocery/Staple,2023,17,356,0,373.64,448.37,52,62,84.5,0.29,56
Keeri Samba Rice,Grocery/Staple,2023,18,349,0,373.8,448.56,56,74,83,0.29,53
Keeri Samba Rice,Grocery/Staple,2023,19,342,0,371.5,445.8,53,150,77.8,0.29,41
Keeri Samba Rice,Grocery/Staple,2023,20,335,0,372.58,447.1,41,52,50.5,0.29,46
Keeri Samba Rice,Grocery/Staple,2023,21,328,0,370.72,444.86,46,56,49,0.29,41
Keeri Samba Rice,Grocery/Staple,2023,22,321,0,367.94,441.53,41,53,45.2,0.29,53
Keeri Samba Rice,Grocery/Staple,2023,23,314,0,364.39,437.27,53,41,45.2,0.29,54
Keeri Samba Rice,Grocery/Staple,2023,24,307,0,367.72,441.26,54,46,48.5,0.29,53
Keeri Samba Rice,Grocery/Staple,2023,25,300,0,369.15,442.98,53,41,50.2,0.29,37
Keeri Samba Rice,Grocery/Staple,2023,26,293,0,363.66,436.39,37,53,49.2,0.29,31
Keeri Samba Rice,Grocery/Staple,2023,27,286,0,362.34,434.81,31,54,43.8,0.29,34
Keeri Samba Rice,Grocery/Staple,2023,28,279,0,366.05,439.26,34,53,38.8,0.29,50
Keeri Samba Rice,Grocery/Staple,2023,29,272,0,362.63,435.16,50,37,38,0.29,53
Keeri Samba Rice,Grocery/Staple,2023,30,265,0,359.17,431.0,53,31,42,0.29,49
Keeri Samba Rice,Grocery/Staple,2023,31,258,0,362.53,435.04,49,34,46.5,0.29,57
Keeri Samba Rice,Grocery/Staple,2023,32,251,0,358.58,430.3,57,50,52.2,0.29,44
Keeri Samba Rice,Grocery/Staple,2023,33,244,0,359.55,431.46,44,53,50.8,0.29,46
Keeri Samba Rice,Grocery/Staple,2023,34,237,0,357.48,428.98,46,49,49,0.29,54
Keeri Samba Rice,Grocery/Staple,2023,35,230,0,357.2,428.64,54,57,50.2,0.29,43
Keeri Samba Rice,Grocery/Staple,2023,36,223,0,354.15,424.98,43,44,46.8,0.29,50
Keeri Samba Rice,Grocery/Staple,2023,37,216,0,349.02,418.82,50,46,48.2,0.29,45
Keeri Samba Rice,Grocery/Staple,2023,38,209,0,352.71,423.25,45,54,48,0.29,43
Keeri Samba Rice,Grocery/Staple,2023,39,202,0,347.83,417.4,43,43,45.2,0.29,42
Keeri Samba Rice,Grocery/Staple,2023,40,195,0,354.13,424.96,42,50,45,0.29,57
Keeri Samba Rice,Grocery/Staple,2023,41,188,0,350.67,420.8,57,45,46.8,0.29,51
Keeri Samba Rice,Grocery/Staple,2023,42,181,0,345.31,414.37,51,43,48.2,0.29,46
Keeri Samba Rice,Grocery/Staple,2023,43,174,0,344.56,413.47,46,42,49,0.29,38
Keeri Samba Rice,Grocery/Staple,2023,44,167,0,340.22,408.26,38,57,48,0.29,52
