item,category,iso_year,iso_week,days_to_avurudu,festival_season,avg_wholesale_price_rs,avg_retail_price_rs,lag1_price,lag4_price,rolling4_mean_price,target_next_month_price,lag1_units,lag4_units,rolling4_mean_units,weekend_share,target_units_sold
Carrots,vegetables and fruits,2020,38,211,0,117.0,146.0,127.91,85.17,137.76,146.0,252,202,254.2,0.269,267
Carrots,vegetables and fruits,2020,42,181,0,125.08,146.0,146.0,150.18,136.72,,267,270,245.0,0.253,233
Carrots,vegetables and fruits,2020,46,150,0,135.0,,146.0,126.96,139.97,,233,228,244.5,0.249,226
Carrots,vegetables and fruits,2020,51,120,0,105.0,,,127.91,146.0,,226,252,249.2,0.295,271
Carrots,vegetables and fruits,2021,2,89,0,117.5,,,146.0,146.0,,271,267,255.8,0.237,293
Carrots,vegetables and fruits,2021,7,58,0,130.0,,,146.0,,,293,233,261.8,0.314,257
Carrots,vegetables and fruits,2021,11,30,1,160.0,,,,,,257,226,324.8,0.336,478
Carrots,vegetables and fruits,2021,15,364,0,145.0,,,,,350.91,478,271,330.5,0.316,294
Carrots,vegetables and fruits,2022,28,273,0,,350.91,,,350.91,388.97,294,293,309.2,0.279,208
Carrots,vegetables and fruits,2022,33,242,0,,388.97,350.91,,369.94,332.8,208,257,300.2,0.265,221
Carrots,vegetables and fruits,2022,37,211,0,,332.8,388.97,,357.56,408.15,221,478,239.8,0.316,236
Carrots,vegetables and fruits,2022,41,181,0,,408.15,332.8,,370.21,479.63,236,294,214.0,0.245,191
Carrots,vegetables and fruits,2022,46,150,0,,479.63,408.15,350.91,402.39,240.0,191,208,213.2,0.32,205
Carrots,vegetables and fruits,2022,50,120,0,,240.0,479.63,388.97,365.14,322.5,205,221,219.8,0.421,247
Carrots,vegetables and fruits,2023,2,89,0,,322.5,240.0,332.8,362.57,97.0,247,236,212.8,0.357,208
Carrots,vegetables and fruits,2023,7,58,0,,97.0,322.5,408.15,284.78,203.33,208,191,232.8,0.371,271
Carrots,vegetables and fruits,2023,11,30,1,,203.33,97.0,479.63,215.71,254.81,271,205,288.2,0.3,427
Carrots,vegetables and fruits,2023,15,365,0,,254.81,203.33,240.0,219.41,302.0,427,247,287.5,0.283,244
Carrots,vegetables and fruits,2023,20,335,0,,302.0,254.81,322.5,214.28,456.91,244,208,287.5,0.337,208
Carrots,vegetables and fruits,2023,24,304,0,,456.91,302.0,97.0,304.26,527.82,208,271,269.0,0.31,197
Carrots,vegetables and fruits,2023,28,274,0,,527.82,456.91,203.33,385.39,485.91,197,427,204.0,0.289,167
Carrots,vegetables and fruits,2023,33,243,0,,485.91,527.82,254.81,443.16,314.28,167,244,192.0,0.343,196
Carrots,vegetables and fruits,2023,37,212,0,,314.28,485.91,302.0,446.23,315.96,196,208,199.5,0.371,238
Carrots,vegetables and fruits,2023,41,182,0,,315.96,314.28,456.91,410.99,413.48,238,197,210.8,0.427,242
Carrots,vegetables and fruits,2023,46,151,0,,413.48,315.96,527.82,382.41,542.33,242,167,208.8,0.328,159
Carrots,vegetables and fruits,2023,50,121,0,,542.33,413.48,485.91,396.51,1334.59,159,196,206.8,0.343,188
Carrots,vegetables and fruits,2024,3,90,0,,1334.59,542.33,314.28,651.59,788.28,188,238,186.2,0.216,156
Carrots,vegetables and fruits,2024,7,59,0,,788.28,1334.59,315.96,769.67,474.91,156,242,166.2,0.253,162
Carrots,vegetables and fruits,2024,11,30,1,,474.91,788.28,413.48,785.03,364.08,162,159,184.8,0.281,233
Carrots,vegetables and fruits,2024,16,364,0,,364.08,474.91,542.33,740.46,280.61,233,188,182.2,0.187,178
Carrots,vegetables and fruits,2024,20,334,0,,280.61,364.08,1334.59,476.97,416.79,178,156,195.0,0.316,207
Carrots,vegetables and fruits,2024,24,303,0,,416.79,280.61,788.28,384.1,529.73,207,162,193.5,0.221,156
Carrots,vegetables and fruits,2024,29,273,0,,529.73,416.79,474.91,397.8,376.61,156,233,174.8,0.27,158
Carrots,vegetables and fruits,2024,33,242,0,,376.61,529.73,364.08,400.94,302.03,158,178,179.0,0.383,195
Carrots,vegetables and fruits,2024,37,211,0,,302.03,376.61,280.61,406.29,207.72,195,207,170.0,0.315,171
Carrots,vegetables and fruits,2024,42,181,0,,207.72,302.03,416.79,354.02,216.52,171,156,199.5,0.318,274
Carrots,vegetables and fruits,2024,46,150,0,,216.52,207.72,529.73,275.72,310.5,274,158,223.2,0.368,253
Carrots,vegetables and fruits,2024,50,120,0,,310.5,216.52,376.61,259.19,379.34,253,195,229.8,0.329,221
Carrots,vegetables and fruits,2025,3,89,0,,379.34,310.5,302.03,278.52,802.84,221,171,237.0,0.352,200
Carrots,vegetables and fruits,2025,7,58,0,,802.84,379.34,207.72,427.3,800.08,200,274,209.5,0.349,164
Carrots,vegetables and fruits,2025,11,30,1,,800.08,802.84,216.52,573.19,579.26,164,253,206.8,0.316,242
Carrots,vegetables and fruits,2025,16,364,0,,579.26,800.08,310.5,640.38,919.84,242,221,189.8,0.269,153
Carrots,vegetables and fruits,2025,20,334,0,,919.84,579.26,379.34,775.51,668.93,153,200,168.8,0.387,116
Carrots,vegetables and fruits,2025,24,303,0,,668.93,919.84,802.84,742.03,453.74,116,164,172.0,0.285,177
